1,2,3,4,5,6,7,8
cubic_-0.1_-4.5_2.8_33.csv,133,33,"[-0.1, -4.5, 2.8, 1.3]","[-0.08103036608021798, -4.563076895461802, 2.4049048124703876, -12.343788006104324]",5,1440.2731315970525,0.0001654
cubic_-0.2_3.2_0.0_17.csv,68,17,"[-0.2, 3.2, 0.0, 1.0]","[-0.2281299770897314, 3.2392624994092767, 0.05589832528011131, -11.968415624449442]",5,484.15280350972796,6.955e-5
cubic_-0.4_-3.8_9.4_33.csv,133,33,"[-0.4, -3.8, 9.4, -9.9]","[-0.37125810281806704, -3.7663211140183654, 8.948269946643036, -24.002688730643055]",5,1485.007920298596,0.0001685
cubic_-0.6_-0.9_4.8_21.csv,84,21,"[-0.6, -0.9, 4.8, -5.4]","[-0.5874560805810597, -0.8812455467985193, 4.446072753998133, 8.381774797450843]",5,959.9654596044448,8.53e-5
cubic_-0.6_5.9_5.6_14.csv,57,14,"[-0.6, 5.9, 5.6, 2.7]","[-0.5455800707268565, 5.871664465875353, 5.336980362923183, -11.14788688183905]",5,564.5167172366025,5.295e-5
cubic_-1.0_-0.2_-8.3_18.csv,74,18,"[-1.0, -0.2, -8.3, -8.2]","[-0.969244933190489, -0.26151063041680683, -8.87319808496305, -22.25643646429081]",8,643.942521137288,0.000127
cubic_-1.0_2.5_7.5_7.csv,28,7,"[-1.0, 2.5, 7.5, -1.5]","[-0.9759383990728191, 2.3550754293211913, 7.681320110700423, -14.516634809192068]",5,207.2922293940872,3.045e-5
cubic_-1.4_-0.5_-6.0_13.csv,53,13,"[-1.4, -0.5, -6.0, -8.7]","[-1.4241430055486208, -0.38058641433777773, -6.216301905339937, -23.541722773547264]",6,546.010847376941,5.83e-5
cubic_-1.6_2.9_-3.6_32.csv,128,32,"[-1.6, 2.9, -3.6, -0.5]","[-1.545389942353346, 2.82648453721837, -4.579787478322446, -14.043036348648133]",6,1328.2843660911847,0.0001823
cubic_-1.6_4.6_0.8_7.csv,29,7,"[-1.6, 4.6, 0.8, 7.0]","[-0.3273138965054225, 10.423668985491654, -3.6305369317855893, -31.520732927549815]",6,7519.165637959606,3.855e-5
cubic_-10.0_3.0_2.5_18.csv,72,18,"[-10.0, 3.0, 2.5, -5.0]","[-10.024159707896557, 2.965982315206677, 2.721113679068602, -19.478009971273305]",5,822.835762766878,7.255e-5
cubic_-10.0_6.0_-0.7_19.csv,75,19,"[-10.0, 6.0, -0.7, 6.5]","[-9.996421479214996, 6.12586003665403, -0.6911680446328942, -9.71093394821325]",8,870.9084687225104,0.00012605
cubic_-2.5_1.8_-5.7_12.csv,49,12,"[-2.5, 1.8, -5.7, -4.1]","[-2.5513712862413027, 1.8883871264665821, -4.8502077393931335, -18.83429113434895]",7,461.0155763915004,6.42e-5
cubic_-2.6_7.4_8.0_23.csv,93,23,"[-2.6, 7.4, 8.0, 5.1]","[-2.576846984395625, 7.414540174684751, 7.350205706309418, 18.81314907070856]",9,1128.4217343883615,0.0001817
cubic_-2.6_8.2_-1.9_33.csv,132,33,"[-2.6, 8.2, -1.9, 5.6]","[-2.5949952706079826, 8.141272287663774, -2.028167152210008, 19.05205555722836]",5,1281.624723756378,0.00017265
cubic_-3.0_-1.3_-4.3_36.csv,143,36,"[-3.0, -1.3, -4.3, 9.5]","[-3.0253142050490287, -1.2583830244948517, -3.9343909206563055, 23.9149925293231]",5,1617.1570533186268,0.0001886
cubic_-3.2_3.9_-4.0_18.csv,70,18,"[-3.2, 3.9, -4.0, -9.3]","[-1.829966325717099, -1.2936361137931454, -10.226939303497906, 19.469740752572406]",5,29895.07371345842,6.94e-5
cubic_-3.3_-2.9_-3.5_12.csv,49,12,"[-3.3, -2.9, -3.5, -0.9]","[-3.256218970973594, -3.011209890409271, -4.191390677979149, -14.466426960165483]",5,517.631491205146,4.6e-5
cubic_-4.0_-1.6_-7.9_20.csv,80,20,"[-4.0, -1.6, -7.9, 1.7]","[-3.9373632854836806, -1.6825744951681103, -8.961746744069588, -11.596113346188213]",5,922.1671585246161,8.4e-5
cubic_-4.2_8.6_-0.9_9.csv,35,9,"[-4.2, 8.6, -0.9, -5.9]","[-4.191334795834149, 8.373514751751244, -1.1531690301126567, 10.129627988607114]",5,373.56853852585937,3.47e-5
cubic_-5.1_-4.9_5.4_5.csv,20,5,"[-5.1, -4.9, 5.4, 7.3]","[-5.107574094055288, -4.880155463354807, 5.516999056867288, 21.36013620291974]",6,209.42671660153556,3.045e-5
cubic_-5.1_-7.8_1.6_9.csv,35,9,"[-5.1, -7.8, 1.6, 0.3]","[-5.100801865572828, -7.76697550912033, 1.4649600298998646, 16.82848401466471]",6,316.8466062558201,4.235e-5
cubic_-5.3_2.7_-8.0_11.csv,44,11,"[-5.3, 2.7, -8.0, 9.8]","[-3.487143420676205, -6.9456542923860844, -4.595540138029644, 28.46280239857205]",6,76614.02754368128,4.935e-5
cubic_-5.4_8.3_2.3_33.csv,133,33,"[-5.4, 8.3, 2.3, 7.0]","[-5.441576061861032, 8.31640752833807, 2.8539491208111665, -7.01630974212146]",7,1474.5501700472723,0.0002301
cubic_-5.5_5.4_3.0_37.csv,147,37,"[-5.5, 5.4, 3.0, -7.8]","[-5.488230593549091, 5.418284616115865, 2.729687418664609, 5.156059151100946]",5,1759.8701845851124,0.0002058
