1,2,3,4,5,6,7,8,9
cubic_-0.2_-21.9_21.9_1.csv,16,1,"[-0.2, -21.9, 21.9, 16.4]","[-0.1999998243737645, -21.899997654789054, 21.899996312226836, 16.39995920061158]",8,4,4.103316494248461e-5,3.365e-5
cubic_-0.7_23.9_-4.9_4.csv,42,4,"[-0.7, 23.9, -4.9, -19.1]","[-0.7000000662580218, 23.899998773785335, -4.899999020242004, -19.099982150017475]",14,6,1.79189786110822e-5,9.74e-5
cubic_-0.9_-5.2_-11.3_7.csv,69,7,"[-0.9, -5.2, -11.3, 1.2]","[-0.9000000011331849, -5.200000040828225, -11.299999978504625, 1.2000006333275375]",14,6,6.350071252099942e-7,0.00013635
cubic_-10.0_2.8_-13.3_5.csv,51,5,"[-10.0, 2.8, -13.3, 7.6]","[-9.999999969415908, 2.800001461542001, -13.300000588075044, 7.599976691933671]",10,5,2.3361267701908908e-5,8.48e-5
cubic_-10.0_20.0_-21.8_4.csv,45,4,"[-10.0, 20.0, -21.8, -9.3]","[-9.99999983864006, 20.000003162714677, -21.800003290201907, -9.300051071880894]",7,4,5.1275639905497066e-5,5.615e-5
cubic_-10.7_16.0_-10.1_3.csv,36,3,"[-10.7, 16.0, -10.1, 11.5]","[-10.700000038542251, 15.999998783530105, -10.099999265896564, 11.500019741309577]",11,5,1.9792410065272743e-5,6.9e-5
cubic_-11.1_2.2_-23.5_6.csv,62,6,"[-11.1, 2.2, -23.5, 6.2]","[-11.099999976088265, 2.19999917302815, -23.500000221040597, 6.2000122124065635]",12,6,1.2242393035112874e-5,0.00012665
cubic_-11.1_23.4_21.9_8.csv,77,8,"[-11.1, 23.4, 21.9, -1.3]","[-11.099999973236159, 23.39999990502839, 21.899999515721962, -1.2999985592233552]",11,5,1.5231869439809891e-6,0.00011685
cubic_-12.1_-8.9_-11.3_4.csv,41,4,"[-12.1, -8.9, -11.3, 17.1]","[-12.100000016650055, -8.899999748147572, -11.29999966908161, 17.099995942216236]",11,5,4.079071333357983e-6,7.56e-5
cubic_-12.6_13.1_21.0_5.csv,53,5,"[-12.6, 13.1, 21.0, -0.8]","[-12.600000002561462, 13.100000720997441, 21.000000067702622, -0.8000113007330978]",10,5,1.1323912577501083e-5,8.905e-5
cubic_-12.6_24.9_-1.2_6.csv,61,6,"[-12.6, 24.9, -1.2, -1.4]","[-12.599999984456867, 24.899998159057006, -1.200000016310725, -1.3999732109140866]",13,6,2.685227556101141e-5,0.0001313
cubic_-13.1_5.2_21.3_3.csv,34,3,"[-13.1, 5.2, 21.3, -9.0]","[-13.099999998669608, 5.200002817314704, 21.300000049678584, -9.000044548602736]",11,5,4.4637626925832794e-5,6.795e-5
cubic_-13.2_23.7_-7.3_6.csv,59,6,"[-13.2, 23.7, -7.3, 19.5]","[-13.199999994515508, 23.699999433565132, -7.300000053662635, 19.500008681494364]",15,6,8.700120839028013e-6,0.00013775
cubic_-13.3_-1.6_-21.3_7.csv,64,7,"[-13.3, -1.6, -21.3, -20.6]","[-13.300000000714316, -1.599999984302014, -21.299999986579987, -20.60000024199509]",12,5,2.428758053128137e-7,0.0001192
cubic_-14.2_-9.9_-21.4_7.csv,66,7,"[-14.2, -9.9, -21.4, -11.3]","[-14.199999997768316, -9.899999856122331, -21.40000004524139, -11.300002226985931]",15,6,2.232088457815915e-6,0.00015235
cubic_-14.6_3.2_-6.6_5.csv,47,5,"[-14.6, 3.2, -6.6, 2.8]","[-14.600000195743245, 3.1999973597938074, -6.599996289610912, 2.800041870791913]",11,5,4.211815768499451e-5,8.525e-5
cubic_-15.2_-15.1_-3.3_7.csv,65,7,"[-15.2, -15.1, -3.3, -10.6]","[-15.20000006043721, -15.099999283340562, -3.2999989726582593, -10.60001050129272]",13,6,1.0575908153172126e-5,0.00013625
cubic_-15.3_-9.7_24.4_7.csv,69,7,"[-15.3, -9.7, 24.4, -16.7]","[-15.300000003338633, -9.700000101134775, 24.400000041285956, -16.699998486680585]",10,5,1.517260547945293e-6,9.98e-5
