1,2,3,4,5,6,7,8
cubic_-0.1_-25.6_-21.4_10.csv,35,10,"[-0.1, -25.6, -21.4, 27.8]","[1.1951094727801044, -3.231018385588875, -12.520818636816479, -21.278600373630876]",5,54.67721210273265,3.31e-5
cubic_-0.7_0.5_-19.0_10.csv,35,10,"[-0.7, 0.5, -19.0, -26.9]","[0.2752219449725807, -2.7741656328048854, -21.87611304612172, -20.12513472362539]",5,8.11431107365836,3.39e-5
cubic_-10.3_-7.2_9.8_7.csv,25,7,"[-10.3, -7.2, 9.8, -30.0]","[-10.299999999568394, -7.20000000742223, 9.799999992529141, -29.999999875479585]",6,1.2496568870167658e-7,3.3e-5
cubic_-10.5_17.2_9.2_3.csv,12,3,"[-10.5, 17.2, 9.2, -4.8]","[1.190226682183846, -1.85581419371199, -25.109989247340156, 34.17155401000471]",6,56.530901625336114,2.15e-5
cubic_-10.5_24.8_-17.9_13.csv,44,13,"[-10.5, 24.8, -17.9, 13.0]","[-4.136500959196569, -12.727580951411731, 12.984268685560155, 48.096429378934964]",6,60.286075170801325,4.595e-5
cubic_-11.3_-13.5_-23.4_26.csv,87,26,"[-11.3, -13.5, -23.4, -0.8]","[4.774032255440878, 2.319634607235759, -104.8573027510916, -33.62254428026512]",4,90.67109206670207,6.735e-5
cubic_-12.1_13.7_28.9_8.csv,27,8,"[-12.1, 13.7, 28.9, -12.9]","[1.7766308552223466, 0.8345102722445539, -37.77396509198354, 17.525565478778255]",5,75.69157394068084,2.77e-5
cubic_-12.7_-21.9_11.0_13.csv,46,13,"[-12.7, -21.9, 11.0, -12.5]","[-12.699999996830922, -21.900000028445497, 10.999999954516438, -12.49999959739866]",6,4.061721105234817e-7,4.475e-5
cubic_-12.7_12.8_-18.4_25.csv,84,25,"[-12.7, 12.8, -18.4, -29.3]","[5.123872383993469, -1.4237093551257232, -121.02227853844185, -2.1765466303130707]",4,108.5680344746975,6.545e-5
cubic_-12.7_26.5_28.0_16.csv,56,16,"[-12.7, 26.5, 28.0, 19.9]","[-12.69999999999296, 26.499999999650406, 28.000000000014946, 19.900000005338132]",7,5.349594206158307e-9,7.62e-5
cubic_-13.0_24.0_-22.0_4.csv,15,4,"[-13.0, 24.0, -22.0, 7.9]","[-13.000000000171571, 23.99999998702435, -22.000000005933746, 7.900000204759452]",6,2.0525603401289318e-7,2.48e-5
cubic_-13.4_23.8_6.6_6.csv,22,6,"[-13.4, 23.8, 6.6, 11.8]","[-0.01890351079647973, -13.732469716261571, -56.52640609465017, 105.7098667740576]",5,119.9656044464554,2.68e-5
cubic_-14.2_10.6_23.0_7.csv,26,7,"[-14.2, 10.6, 23.0, -8.2]","[1.6873138390180848, 1.352892936080295, -69.08155474305457, 10.487975076866624]",5,95.74011106345549,2.81e-5
cubic_-14.2_5.3_23.8_28.csv,94,28,"[-14.2, 5.3, 23.8, -28.7]","[1.6441282392651264, 2.8085903479977294, -63.99308154001796, -17.28406319326381]",4,89.97328659765634,7.16e-5
cubic_-14.8_9.0_4.5_12.csv,41,12,"[-14.8, 9.0, 4.5, -2.2]","[-14.800000000502237, 8.999999988854126, 4.500000007020862, -2.1999998245840193]",7,1.75910606792014e-7,5.525e-5
cubic_-15.0_17.6_0.2_17.csv,57,17,"[-15.0, 17.6, 0.2, 27.4]","[3.18662882002971, -2.2724797583180907, -73.38617560009982, 45.10960649074144]",4,80.33818719069988,4.14e-5
