1,2,3,4,5,6,7,8,9
cubic_-0.4_-7.0_9.5_7.csv,29,7,"[-0.4, -7.0, 9.5, -0.5]","[-0.39999951234545883, -7.00000396235601, 9.499989858756944, -0.4999298208984084]",7,4,4.9525363933782675e-8,3.895e-5
cubic_-0.5_9.9_8.2_19.csv,77,19,"[-0.5, 9.9, 8.2, -1.9]","[-0.5000001014584715, 9.90000099686045, 8.200001541920516, -1.9000139887857859]",10,5,4.89575212361276e-9,0.00011505
cubic_-0.6_-4.6_6.9_10.csv,39,10,"[-0.6, -4.6, 6.9, 3.6]","[-0.5999999937866572, -4.600000302414765, 6.899999923603883, 3.6000042993753536]",12,5,2.2747056486499177e-10,7.35e-5
cubic_-0.9_8.7_3.0_28.csv,110,28,"[-0.9, 8.7, 3.0, -3.9]","[-0.8999999927067406, 8.69999964907952, 2.9999998564623827, -3.899994500263241]",14,6,1.1511584133666641e-9,0.00019435
cubic_-1.0_-3.8_-8.7_20.csv,79,20,"[-1.0, -3.8, -8.7, 1.5]","[-0.9999998315341908, -3.800001371152836, -8.700002615132513, 1.5000197100841843]",10,5,1.057470023817675e-8,0.0001145
cubic_-1.0_4.8_6.9_30.csv,120,30,"[-1.0, 4.8, 6.9, -0.6]","[-1.0000000809019638, 4.7999992891601675, 6.900001620934378, -0.5999895687873583]",16,7,4.419067117647903e-9,0.0002529
cubic_-1.1_-7.5_8.7_13.csv,53,13,"[-1.1, -7.5, 8.7, 8.5]","[0.6147191008410554, -1.428666714584448, -3.580053058877956, -14.62665511462292]",12,5,30589.689857939335,8.65e-5
cubic_-1.3_3.6_-6.8_32.csv,130,32,"[-1.3, 3.6, -6.8, -4.0]","[-1.2999999992427704, 3.5999999330366195, -6.8000000212494465, -3.9999989974404886]",12,6,4.232651808412095e-11,0.00022035
cubic_-1.5_4.0_4.6_9.csv,35,9,"[-1.5, 4.0, 4.6, 3.1]","[-0.8780926841775507, 1.95046082554933, -0.3633005286723788, 7.232849002513507]",12,5,3765.7980681356635,6.8e-5
cubic_-1.9_-7.3_-7.6_25.csv,99,25,"[-1.9, -7.3, -7.6, 3.3]","[-1.8999999109754648, -7.300000120656895, -7.600001528005586, 3.3000015864416024]",13,6,2.9665655015682975e-10,0.00016325
cubic_-2.0_-7.3_-5.5_10.csv,38,10,"[-2.0, -7.3, -5.5, -4.9]","[-1.999999750998967, -7.299996994987813, -5.500004626880109, -4.900050873263565]",9,4,3.256308493813133e-8,5.38e-5
cubic_-2.1_-1.8_0.0_13.csv,51,13,"[-2.1, -1.8, 0.0, -9.0]","[-0.17301499292492406, -1.903608815387272, -17.393395936054446, -4.488927639262631]",8,4,29467.523189216827,5.715e-5
cubic_-2.4_0.0_-1.7_22.csv,90,22,"[-2.4, 0.0, -1.7, -2.5]","[-2.3999999851732174, -3.490950416496801e-7, -1.7000003300203426, -2.4999948582002327]",14,6,7.38641647098385e-10,0.00015435
cubic_-2.5_8.6_-4.6_6.csv,23,6,"[-2.5, 8.6, -4.6, 4.4]","[2.285809885131569, -0.9627609623953933, -33.06185423465173, 20.828325277641348]",5,3,19942.058500674724,2.4e-5
cubic_-2.6_-0.8_7.1_13.csv,53,13,"[-2.6, -0.8, 7.1, 2.9]","[-2.6000000021245806, -0.7999998649045987, 7.10000003480588, 2.899997942337338]",15,6,7.080853430403485e-11,0.00011105
cubic_-2.6_-8.2_6.9_15.csv,60,15,"[-2.6, -8.2, 6.9, 6.6]","[-2.6000000027660604, -8.199999865319162, 6.900000083154861, 6.59999787695324]",12,5,8.641959887974711e-11,9.965e-5
cubic_-2.7_-6.7_7.8_6.csv,25,6,"[-2.7, -6.7, 7.8, 9.1]","[-2.700000110035648, -6.699991937815037, 7.800003668207183, 9.099869300738666]",19,6,1.2215390998929323e-7,8.685e-5
cubic_-2.7_-7.4_-4.3_8.csv,31,8,"[-2.7, -7.4, -4.3, 6.4]","[-2.7000002461170984, -7.399997777023036, -4.299996085741539, 6.399965540481613]",18,6,1.053332973599178e-8,9.14e-5
cubic_-3.2_-6.7_7.7_13.csv,51,13,"[-3.2, -6.7, 7.7, 0.7]","[-3.200000031286392, -6.699999566757665, 7.7000005467462085, 0.6999931106860479]",19,7,7.978405071326186e-10,0.00013655
cubic_-3.9_0.7_-5.2_10.csv,38,10,"[-3.9, 0.7, -5.2, 9.4]","[-3.8999999808667116, 0.7000003863176527, -5.200000321513613, 9.399993774865631]",14,5,4.729529074575743e-10,8.11e-5
cubic_-4.2_6.3_6.6_26.csv,103,26,"[-4.2, 6.3, 6.6, -1.6]","[-4.200000032572682, 6.300000366651338, 6.60000057663781, -1.6000056838040928]",25,10,1.1314333470181468e-9,0.00032215
cubic_-4.2_6.8_8.5_20.csv,80,20,"[-4.2, 6.8, 8.5, -2.6]","[-4.200000058464927, 6.800001065873428, 8.500000832735402, -2.600015807550232]",22,8,7.0894391664969295e-9,0.0002357
cubic_-4.7_9.6_-7.2_30.csv,120,30,"[-4.7, 9.6, -7.2, 7.2]","[-4.700000005606278, 9.599999948621766, -7.199999893179783, 7.200000815567927]",10,5,2.6599525985256486e-11,0.0001639
cubic_-5.2_-0.4_-10.0_17.csv,67,17,"[-5.2, -0.4, -10.0, -5.6]","[-5.200000004473036, -0.4000002671642573, -9.999999890289502, -5.599995625426458]",14,6,3.850589116280778e-10,0.00013525
cubic_-5.4_-3.2_9.4_35.csv,140,35,"[-5.4, -3.2, 9.4, 5.5]","[-5.39999999640936, -3.199999801912156, 9.399999963613524, 5.499996991689929]",17,7,4.0597715428502656e-10,0.0003042
