1,2,3,4,5,6,7,8
cubic_-0.4_-7.0_9.5_7.csv,29,7,"[-0.4, -7.0, 9.5, -0.5]","[-0.39999977828779054, -7.000001831924802, 9.499995386390381, -0.49996756278257065]",7,4,1.056507268018068e-8
cubic_-0.5_9.9_8.2_19.csv,77,19,"[-0.5, 9.9, 8.2, -1.9]","[-0.50000004590078, 9.900000451280102, 8.200000697510033, -1.9000063328066394]",10,5,1.0033269455912348e-9
cubic_-0.6_-4.6_6.9_10.csv,39,10,"[-0.6, -4.6, 6.9, 3.6]","[-0.5999999987177262, -4.6000000627283235, 6.899999984265863, 3.6000008917976767]",12,5,9.786875751933617e-12
cubic_-0.9_8.7_3.0_28.csv,110,28,"[-0.9, 8.7, 3.0, -3.9]","[-0.8999999967212232, 8.699999841902624, 2.999999935461787, -3.899997522250483]",12,6,2.336491680329749e-10
cubic_-1.0_-3.8_-8.7_20.csv,79,20,"[-1.0, -3.8, -8.7, 1.5]","[-0.9999997897462273, -3.8000017059836884, -8.700003264981572, 1.5000245217565769]",8,5,1.6373632415929825e-8
cubic_-1.0_4.8_6.9_30.csv,120,30,"[-1.0, 4.8, 6.9, -0.6]","[-1.0000001010790585, 4.799999113900291, 6.900002024527507, -0.5999869960837001]",14,7,6.8695264701013765e-9
cubic_-1.1_-7.5_8.7_13.csv,53,13,"[-1.1, -7.5, 8.7, 8.5]","[0.6147192178854921, -1.4286632685107952, -3.5800527295514315, -14.626700550376729]",11,5,30589.6898579815
cubic_-1.3_3.6_-6.8_32.csv,130,32,"[-1.3, 3.6, -6.8, -4.0]","[-1.2999999996612388, 3.5999999698579024, -6.800000009527314, -3.9999995487217452]",12,6,8.575848047454292e-12
cubic_-1.5_4.0_4.6_9.csv,35,9,"[-1.5, 4.0, 4.6, 3.1]","[-0.8780922765041614, 1.9504551035705808, -0.3633027780573849, 7.2329210812699]",11,5,3765.7980682059006
cubic_-1.9_-7.3_-7.6_25.csv,99,25,"[-1.9, -7.3, -7.6, 3.3]","[-1.8999998888118892, -7.300000150886212, -7.600001908371867, 3.3000019841539676]",11,6,4.6302663089163937e-10
cubic_-2.0_-7.3_-5.5_10.csv,38,10,"[-2.0, -7.3, -5.5, -4.9]","[-1.9999999484488282, -7.299999377057669, -5.5000009578461615, -4.900010546142689]",8,4,1.399338937349438e-9
cubic_-2.1_-1.8_0.0_13.csv,51,13,"[-2.1, -1.8, 0.0, -9.0]","[-0.17301503197962426, -1.9036092493355885, -17.39339548148512, -4.488922481455023]",8,4,29467.52318921612
