1,npts,nout,solution,value obtained,it,ndif,time
sphere3D_-0.1_22.3_-60.7_154.0_5.csv,27,5,"[-0.1, 22.3, -60.7, 154.0]","[-0.10000000000000452, 22.299999999999976, -60.69999999999999, 154.0]",8,4.359013150434521e-14,7.54e-5
sphere3D_-0.5_12.0_3.3_38.0_5.csv,28,5,"[-0.5, 12.0, 3.3, 38.0]","[-0.4999999999631431, 12.000000000112749, 3.2999999999294585, 38.00000000000155]",9,2.216961614287527e-10,"8,62E-02"
sphere3D_-11.7_-34.1_70.5_87.0_6.csv,34,6,"[-11.7, -34.1, 70.5, 87.0]","[-11.699999999999948, -34.10000000000001, 70.50000000000001, 87.00000000000006]",9,1.2967404927621828e-13,7.39e-5
sphere3D_-113.2_115.8_112.1_101.0_4.csv,24,4,"[-113.2, 115.8, 112.1, 101.0]","[-113.19999999999898, 115.80000000000416, 112.09999999999782, -101.00000000000028]",9,7.645439836778678e-12,8.64e-5
sphere3D_-114.0_54.9_82.6_145.0_2.csv,12,2,"[-114.0, 54.9, 82.6, 145.0]","[-114.0, 54.9, 82.6, -145.0]",6,0.0,2.81e-5
sphere3D_-117.3_6.6_-84.5_78.0_5.csv,25,5,"[-117.3, 6.6, -84.5, 78.0]","[-117.29999999998502, 6.600000000085468, -84.50000000005302, -77.99999999999876]",9,1.5470380532178751e-10,8.29e-5
sphere3D_-118.1_-19.6_-87.5_101.0_6.csv,33,6,"[-118.1, -19.6, -87.5, 101.0]","[-118.10000000000007, -19.600000000000033, -87.49999999999997, -100.99999999999997]",8,1.5987211554602254e-13,"7,25E-02"
sphere3D_-13.0_13.3_-3.9_163.0_3.csv,19,3,"[-13.0, 13.3, -3.9, 163.0]","[-13.000000000002201, 13.300000000008852, -3.9000000000045327, 162.99999999999937]",8,1.6210588427156836e-11,6.73e-5
sphere3D_-13.7_-108.5_-105.4_148.0_6.csv,34,6,"[-13.7, -108.5, -105.4, 148.0]","[-13.699999999999994, -108.5, -105.40000000000002, 148.0]",8,1.9539925233402755e-14,"6,98E-02"
sphere3D_-15.2_10.1_104.8_23.0_9.csv,48,9,"[-15.2, 10.1, 104.8, 23.0]","[-15.200000000000104, 10.099999999999618, 104.80000000000024, -22.99999999999996]",8,7.673861546209082e-13,"8,56E-02"
sphere3D_-19.8_105.7_76.0_88.0_3.csv,15,3,"[-19.8, 105.7, 76.0, 88.0]","[-19.80000000001527, 105.70000000000262, 75.99999999999862, -87.99999999999724]",8,2.2019719381205505e-11,4.81e-5
sphere3D_-2.6_-20.3_50.6_24.0_2.csv,11,2,"[-2.6, -20.3, 50.6, 24.0]","[-2.5999999999998633, -20.299999999999876, 50.59999999999995, -24.00000000000006]",8,3.7125857943465235e-13,3.22e-5
sphere3D_-25.4_97.3_105.8_139.0_2.csv,13,2,"[-25.4, 97.3, 105.8, 139.0]","[-25.400000000000155, 97.29999999999981, 105.80000000000011, -139.00000000000006]",7,5.115907697472721e-13,3.83e-5
sphere3D_-26.4_116.9_-56.7_50.0_9.csv,47,9,"[-26.4, 116.9, -56.7, 50.0]","[-26.400000000001338, 116.89999999999291, -56.69999999999624, -50.000000000012484]",7,2.468070192662708e-11,"7,72E-02"
sphere3D_-27.2_66.2_-24.6_23.0_6.csv,33,6,"[-27.2, 66.2, -24.6, 23.0]","[-27.200000000004582, 66.19999999999561, -24.59999999999767, -22.99999999999997]",7,1.1333156635373598e-11,5.51e-5
sphere3D_-3.1_42.7_2.6_83.0_2.csv,14,2,"[-3.1, 42.7, 2.6, 83.0]","[-6.124927209698955, 40.38351403114669, 6.404098128538031, 80.89659940708209]",100,11.248911900008208,0.00072495
sphere3D_-32.7_114.0_-35.7_17.0_4.csv,20,4,"[-32.7, 114.0, -35.7, 17.0]","[-32.700000000000074, 114.00000000000105, -35.70000000000051, -16.999999999999943]",7,1.6839862837514374e-12,3.83e-5
sphere3D_-33.5_56.1_57.0_89.0_5.csv,26,5,"[-33.5, 56.1, 57.0, 89.0]","[-33.499999999999496, 56.099999999999824, 57.00000000000019, 89.00000000000065]",7,1.5276668818842154e-12,"4,25E-02"
sphere3D_-34.1_35.6_-100.5_97.0_3.csv,15,3,"[-34.1, 35.6, -100.5, 97.0]","[-39.21857280777126, 27.09330839507959, -88.66397966107156, -94.34850109766604]",6,28.11278365395406,"3,08E-02"
sphere3D_-34.3_38.6_-118.3_96.0_8.csv,41,8,"[-34.3, 38.6, -118.3, 96.0]","[-34.30000000000165, 38.60000000000456, -118.3000000000028, -95.99999999999949]",9,9.528378086542943e-12,0.0001084
sphere3D_-36.2_114.5_42.9_144.0_5.csv,28,5,"[-36.2, 114.5, 42.9, 144.0]","[-36.20000000000007, 114.50000000000001, 42.899999999999984, 144.0]",8,9.237055564881302e-14,6.76e-5
sphere3D_-4.8_-24.1_9.9_156.0_5.csv,25,5,"[-4.8, -24.1, 9.9, 156.0]","[-10.479967126542306, -27.128389029181417, 16.710174993823784, 152.3692526899586]",7,19.149278459588892,"7,28E-02"
sphere3D_-42.6_-93.3_7.3_18.0_5.csv,26,5,"[-42.6, -93.3, 7.3, 18.0]","[-42.600000000007064, -93.30000000000678, 7.3000000000037435, -17.999999999998405]",7,1.9180212973424204e-11,4.58e-5
sphere3D_-43.5_81.1_51.4_126.0_9.csv,47,9,"[-43.5, 81.1, 51.4, 126.0]","[-43.499999999999986, 81.1, 51.4, 126.0]",8,1.4210854715202004e-14,"9,61E-02"
sphere3D_-45.1_120.0_117.1_63.0_8.csv,40,8,"[-45.1, 120.0, 117.1, 63.0]","[-45.10000000000257, 120.0000000000005, 117.09999999999998, -62.99999999999977]",9,3.304023721284466e-12,8.89e-5
sphere3D_-48.3_-35.7_56.0_80.0_9.csv,47,9,"[-48.3, -35.7, 56.0, 80.0]","[-48.29999999999861, -35.699999999999974, 55.9999999999999, -80.00000000000175]",7,3.26139115713886e-12,6.81e-5
sphere3D_-50.2_99.8_-108.5_62.0_6.csv,30,6,"[-50.2, 99.8, -108.5, 62.0]","[-50.2, 99.8, -108.5, -62.0]",8,0.0,6.35e-5
sphere3D_-52.2_-68.1_-92.4_148.0_3.csv,15,3,"[-52.2, -68.1, -92.4, 148.0]","[-64.41482457325388, -62.00859636153667, -93.29069897320132, 149.85600808567176]",7,21.052935270590275,4.96e-5
sphere3D_-52.5_117.6_-22.4_56.0_4.csv,23,4,"[-52.5, 117.6, -22.4, 56.0]","[-52.500000000001044, 117.6000000000042, -22.400000000001803, -55.999999999999545]",7,7.510436716984259e-12,"4,93E-02"
sphere3D_-59.4_56.6_-95.7_140.0_9.csv,45,9,"[-59.4, 56.6, -95.7, 140.0]","[-59.400000000000254, 56.60000000000004, -95.70000000000002, 140.00000000000017]",7,4.760636329592671e-13,7.82e-5
sphere3D_-59.8_16.1_70.3_54.0_7.csv,35,7,"[-59.8, 16.1, 70.3, 54.0]","[-59.79999999999871, 16.099999999999447, 70.3000000000003, -54.000000000000206]",8,2.3447910280083306e-12,"7,73E-02"
sphere3D_-66.8_-0.0_-36.9_123.0_10.csv,50,10,"[-66.8, -0.0, -36.9, 123.0]","[-66.80000000000018, -5.67118287061278e-13, -36.899999999999714, 122.99999999999994]",9,1.092919911523752e-12,0.0001172
sphere3D_-67.0_-118.0_7.4_93.0_2.csv,10,2,"[-67.0, -118.0, 7.4, 93.0]","[-66.0418158932927, -119.58924813182884, 9.207655015465368, -93.88859706259097]",7,5.243684316592475,3.07e-5
sphere3D_-68.7_-31.9_119.6_86.0_9.csv,49,9,"[-68.7, -31.9, 119.6, 86.0]","[-68.6999999999996, -31.900000000008, 119.60000000000481, -86.00000000000006]",8,1.3272938303998671e-11,0.00010625
sphere3D_-68.7_110.1_-84.6_160.0_7.csv,36,7,"[-68.7, 110.1, -84.6, 160.0]","[-68.7, 110.1, -84.6, 160.0]",7,0.0,6.96e-5
sphere3D_-68.9_94.8_-85.5_120.0_7.csv,36,7,"[-68.9, 94.8, -85.5, 120.0]","[-68.90000000000038, 94.79999999999924, -85.4999999999996, -119.99999999999982]",7,1.7053025658242404e-12,"6,97E-02"
sphere3D_-7.9_83.6_-81.9_88.0_7.csv,37,7,"[-7.9, 83.6, -81.9, 88.0]","[-7.900000000000004, 83.6, -81.9, -88.0]",9,3.552713678800501e-15,8.22e-5
sphere3D_-72.0_54.2_-30.1_119.0_1.csv,8,1,"[-72.0, 54.2, -30.1, 119.0]","[-79.94610159530193, 46.618976407830836, -19.77937587529218, 113.85301416225758]",7,30.994735149921333,"4,05E-02"
sphere3D_-72.9_63.2_4.1_131.0_4.csv,21,4,"[-72.9, 63.2, 4.1, 131.0]","[-72.90000000000364, 63.19999999999916, 4.100000000000583, 130.99999999999926]",7,5.806022329579719e-12,"5,34E-02"
sphere3D_-73.8_65.9_110.0_109.0_4.csv,22,4,"[-73.8, 65.9, 110.0, 109.0]","[-73.80000000000001, 65.90000000000008, 109.99999999999996, -109.0]",7,1.2789769243681803e-13,5.63e-5
sphere3D_-74.1_61.5_-18.4_68.0_7.csv,38,7,"[-74.1, 61.5, -18.4, 68.0]","[-74.10000000000144, 61.50000000000036, -18.400000000000066, -68.00000000000007]",7,1.950439809661475e-12,6.27e-5
sphere3D_-74.4_-117.4_-95.7_106.0_2.csv,10,2,"[-74.4, -117.4, -95.7, 106.0]","[-74.39999999999998, -117.40000000000005, -95.69999999999997, -106.00000000000001]",7,1.1368683772161603e-13,3.51e-5
sphere3D_-76.2_-113.5_45.9_96.0_9.csv,47,9,"[-76.2, -113.5, 45.9, 96.0]","[-76.20000000000017, -113.49999999999984, 45.89999999999989, -96.00000000000021]",8,6.465938895416912e-13,9.06e-5
sphere3D_-77.3_110.6_-109.5_39.0_8.csv,42,8,"[-77.3, 110.6, -109.5, 39.0]","[-77.30000000001381, 110.60000000000176, -109.50000000000476, -38.999999999989306]",11,3.1029401270643575e-11,9.83e-5
sphere3D_-77.9_-59.2_-65.1_13.0_4.csv,21,4,"[-77.9, -59.2, -65.1, 13.0]","[-77.89999999999809, -59.199999999965016, -65.10000000001581, 12.99999999999938]",11,5.334221953035012e-11,"8,27E-02"
sphere3D_-83.9_-36.5_27.8_32.0_3.csv,19,3,"[-83.9, -36.5, 27.8, 32.0]","[-83.899999999988, -36.49999999999907, 27.79999999999819, -32.000000000006274]",7,2.1024959551141364e-11,4.34e-5
sphere3D_-90.2_-44.0_3.3_115.0_7.csv,39,7,"[-90.2, -44.0, 3.3, 115.0]","[-90.20000000000005, -44.00000000000009, 3.3000000000000598, 114.99999999999999]",7,2.091660178393795e-13,6.65e-5
sphere3D_-91.7_-27.7_55.7_6.0_9.csv,46,9,"[-91.7, -27.7, 55.7, 6.0]","[-91.70000000168378, -27.699999998542836, 55.6999999993801, -6.000000000027287]",8,3.788128921655698e-9,"6,77E-02"
sphere3D_-94.1_85.3_-113.4_53.0_9.csv,47,9,"[-94.1, 85.3, -113.4, 53.0]","[-94.09999999999995, 85.30000000000028, -113.40000000000016, -53.000000000000014]",10,4.973799150320701e-13,0.0001295
sphere3D_-95.9_106.6_63.9_155.0_9.csv,48,9,"[-95.9, 106.6, 63.9, 155.0]","[-95.89999999999999, 106.6, 63.900000000000006, -155.0]",8,2.1316282072803006e-14,8.49e-5
sphere3D_-97.6_-26.0_-12.6_56.0_6.csv,32,6,"[-97.6, -26.0, -12.6, 56.0]","[-93.39749938681881, -26.735661666371417, -7.662677913083817, -59.87149826224746]",7,13.746982628716243,6.09e-5
sphere3D_-98.8_32.5_48.0_38.0_9.csv,48,9,"[-98.8, 32.5, 48.0, 38.0]","[-98.80000000000007, 32.49999999999965, 48.0000000000002, -37.99999999999997]",8,6.465938895416912e-13,9.01e-5
sphere3D_0.7_81.7_119.1_49.0_2.csv,12,2,"[0.7, 81.7, 119.1, 49.0]","[0.7000000002206724, 81.699999999627, 119.10000000032784, -49.00000000014045]",7,1.0619763957109285e-9,"3,95E-02"
sphere3D_1.5_-70.3_33.5_122.0_5.csv,28,5,"[1.5, -70.3, 33.5, 122.0]","[1.499999999998548, -70.30000000000516, 33.50000000000248, 121.99999999999919]",8,9.900302799792371e-12,"7,33E-02"
sphere3D_10.2_-86.8_58.5_121.0_9.csv,48,9,"[10.2, -86.8, 58.5, 121.0]","[10.2, -86.8, 58.5, 121.0]",8,0.0,9.24e-5
sphere3D_101.0_46.3_-37.6_21.0_9.csv,46,9,"[101.0, 46.3, -37.6, 21.0]","[100.99999999998215, 46.299999999968314, -37.599999999979, -20.999999999994863]",10,7.567280135845067e-11,0.0001251
sphere3D_102.9_-40.5_32.7_60.0_6.csv,30,6,"[102.9, -40.5, 32.7, 60.0]","[102.89999999999962, -40.50000000000041, 32.70000000000032, -59.99999999999986]",8,1.2576606422953773e-12,"6,44E-02"
sphere3D_103.5_-102.3_54.0_129.0_8.csv,44,8,"[103.5, -102.3, 54.0, 129.0]","[103.49999999999983, -102.29999999999981, 53.999999999999815, -129.00000000000105]",7,1.5916157281026244e-12,7.8e-5
