1,2,3,4,5,6,7,8
line2d_-0.3_26.8_15.csv,52,15,"[-0.3, 26.8]","[-0.27456743160360425, 26.584396763263054]",4,32.301658412560876,3.12e-5
line2d_-0.6_2.9_28.csv,96,28,"[-0.6, 2.9]","[-0.5852918183419271, 2.8528935777873645]",6,57.78572425804044,0.0001107
line2d_-0.9_-5.6_6.csv,23,6,"[-0.9, -5.6]","[-0.8776553216664624, -5.291439136348248]",4,18.30133744270228,1.41e-5
line2d_-10.1_15.2_2.csv,9,2,"[-10.1, 15.2]","[-10.090368579816815, 14.81256623251879]",5,8.088651716562866,1.205e-5
line2d_-11.7_12.3_6.csv,22,6,"[-11.7, 12.3]","[-9.809826157981533, 29.457110309267726]",5,3182.490404917844,1.665e-5
line2d_-12.2_26.1_27.csv,93,27,"[-12.2, 26.1]","[-12.22129658607046, 26.03923954775291]",5,53.506957100287615,8.045e-5
line2d_-15.1_-27.7_29.csv,99,29,"[-15.1, -27.7]","[-15.097524380649762, -27.739476701826725]",6,66.84897690231705,0.00010925
line2d_-15.1_29.9_28.csv,95,28,"[-15.1, 29.9]","[-15.092151401107747, 29.69309186831302]",5,50.605165034818,8.715e-5
line2d_-15.5_17.5_17.csv,58,17,"[-15.5, 17.5]","[-15.517604489440528, 17.503460964774472]",5,48.0285513266019,4.335e-5
line2d_-16.1_-7.9_19.csv,64,19,"[-16.1, -7.9]","[-16.12015483651002, -7.627369780738945]",5,42.09000803935382,4.895e-5
line2d_-16.5_-2.7_30.csv,100,30,"[-16.5, -2.7]","[-16.497730199882582, -2.4997143838752858]",5,72.95094953303985,9.525e-5
line2d_-16.8_29.8_22.csv,75,22,"[-16.8, 29.8]","[-16.79552939175796, 29.719024354867386]",5,59.80531760148692,6.15e-5
line2d_-18.4_-6.7_3.csv,13,3,"[-18.4, -6.7]","[-18.393029589570684, -6.8085743536344685]",5,11.52787374995606,1.41e-5
line2d_-18.7_-10.4_19.csv,65,19,"[-18.7, -10.4]","[-18.691723167463557, -10.250025672415752]",6,29.40741452722651,5.94e-5
line2d_-18.9_13.7_25.csv,84,25,"[-18.9, 13.7]","[-18.905555726092043, 13.685220692188599]",5,52.31476138196076,6.87e-5
line2d_-20.9_4.9_6.csv,22,6,"[-20.9, 4.9]","[-20.918554905306596, 4.858963793889269]",5,12.731953692850698,1.68e-5
line2d_-21.5_-14.8_2.csv,8,2,"[-21.5, -14.8]","[-21.446162948803703, -14.619280253381078]",6,2.141771993036044,1.45e-5
line2d_-22.4_-27.4_26.csv,87,26,"[-22.4, -27.4]","[-22.388100949238947, -27.190997870561407]",5,64.19469405203182,7.145e-5
line2d_-22.7_-17.0_3.csv,12,3,"[-22.7, -17.0]","[-22.686078123220543, -17.190154291274332]",5,5.403891802487704,1.36e-5
line2d_-23.0_-20.4_16.csv,56,16,"[-23.0, -20.4]","[-23.001895978492808, -20.672501895805205]",5,44.705839556914356,4.135e-5
line2d_-23.1_-5.3_9.csv,32,9,"[-23.1, -5.3]","[-23.09598801839862, -4.847676688593111]",6,13.34664429910739,3.12e-5
line2d_-24.0_12.8_5.csv,19,5,"[-24.0, 12.8]","[-24.052393454801333, 12.84600152854071]",5,16.8271561780604,1.725e-5
line2d_-24.3_26.5_29.csv,97,29,"[-24.3, 26.5]","[-24.286901224963604, 26.57163809461545]",5,66.11315834418508,9.17e-5
line2d_-24.4_0.4_17.csv,58,17,"[-24.4, 0.4]","[-24.422126076218845, 0.39115011580748676]",4,41.46716392826295,3.35e-5
line2d_-24.5_12.1_13.csv,44,13,"[-24.5, 12.1]","[-24.53633992402722, 11.876441475447962]",6,28.30395942176765,3.715e-5
line2d_-24.5_21.5_3.csv,11,3,"[-24.5, 21.5]","[-24.47478764956863, 20.647121325936602]",5,4.768781121016543,1.345e-5
line2d_-25.1_23.3_23.csv,77,23,"[-25.1, 23.3]","[-25.073703979597347, 23.251698066710517]",5,51.21781905391058,6.345e-5
line2d_-27.4_11.7_17.csv,59,17,"[-27.4, 11.7]","[-27.41019019486368, 11.634096949567033]",5,41.40069219565775,4.275e-5
line2d_-27.5_15.3_15.csv,53,15,"[-27.5, 15.3]","[-27.502795408933764, 15.371140788265196]",5,27.211412240533292,3.97e-5
line2d_-28.9_-22.4_24.csv,81,24,"[-28.9, -22.4]","[-28.895414146351747, -22.407136256670686]",5,36.47310395081559,6.5e-5
line2d_-29.6_14.6_21.csv,73,21,"[-29.6, 14.6]","[-29.581702013757933, 14.357882581143693]",5,55.827076417847735,5.83e-5
line2d_-3.1_-1.0_15.csv,51,15,"[-3.1, -1.0]","[-3.094775087338476, -1.1318600317955578]",6,47.998161451103584,4.595e-5
line2d_-5.3_-2.1_18.csv,62,18,"[-5.3, -2.1]","[-5.308416634539226, -2.1116828924845388]",5,39.19550707219514,4.62e-5
line2d_-5.5_29.9_7.csv,24,7,"[-5.5, 29.9]","[-2.077444420605028, 13.272179597287872]",4,9469.69029022004,1.51e-5
line2d_-7.5_9.2_12.csv,42,12,"[-7.5, 9.2]","[-7.486086798964445, 8.989107733192753]",5,23.02482597531929,2.74e-5
line2d_-7.6_-29.6_24.csv,83,24,"[-7.6, -29.6]","[-7.62604534358893, -29.651631099912297]",5,56.22787467313592,6.85e-5
line2d_-8.2_-15.6_8.csv,28,8,"[-8.2, -15.6]","[-8.143684712084392, -15.398318840466874]",5,24.288567234162034,2.32e-5
line2d_-8.4_-24.2_18.csv,62,18,"[-8.4, -24.2]","[-8.408988163070726, -24.36623412762034]",5,37.408871284690655,4.74e-5
line2d_-9.1_24.4_25.csv,86,25,"[-9.1, 24.4]","[-9.09232097329745, 24.403593395962915]",5,57.07780080362595,7.57e-5
line2d_-9.2_12.7_24.csv,83,24,"[-9.2, 12.7]","[-9.156565689601706, 12.72067236970944]",5,53.98061328761509,7.04e-5
line2d_-9.3_26.7_20.csv,68,20,"[-9.3, 26.7]","[-9.293191553627814, 26.497651412697035]",5,51.508798150288875,5.36e-5
line2d_-9.5_-5.0_26.csv,89,26,"[-9.5, -5.0]","[-9.5090849471253, -5.07062910254173]",5,69.37286847977667,7.62e-5
line2d_-9.7_-18.5_4.csv,15,4,"[-9.7, -18.5]","[-3.993675799219755, 7.137728603883923]",5,13366.933658783686,1.465e-5
line2d_-9.7_-25.9_24.csv,81,24,"[-9.7, -25.9]","[-9.707550713988685, -25.81880915033037]",5,56.22547706276872,6.83e-5
line2d_0.4_4.7_18.csv,63,18,"[0.4, 4.7]","[0.4032763925667144, 4.611413408068291]",5,34.252755286178946,4.73e-5
line2d_1.9_-2.8_13.csv,44,13,"[1.9, -2.8]","[1.9328911327963458, -2.7856542626187206]",4,35.17416755566748,2.53e-5
line2d_10.0_13.4_28.csv,96,28,"[10.0, 13.4]","[9.99411616746516, 13.470006886802711]",6,51.42146947762009,0.00010335
line2d_10.3_11.4_26.csv,89,26,"[10.3, 11.4]","[10.300076366977668, 11.384339532283832]",5,71.10029483357691,7.56e-5
line2d_11.3_17.5_17.csv,59,17,"[11.3, 17.5]","[11.284916104186049, 17.530238655326823]",5,37.92876553025777,4.265e-5
line2d_11.8_1.2_6.csv,22,6,"[11.8, 1.2]","[11.797812152804038, 1.2180092564081917]",5,19.94284863177176,1.73e-5
line2d_13.2_1.8_9.csv,31,9,"[13.2, 1.8]","[13.194570418587235, 1.8091888599914943]",5,18.011992080661717,2.54e-5
line2d_13.3_-21.4_15.csv,53,15,"[13.3, -21.4]","[13.260114001630313, -21.096584192383006]",5,33.86606164718932,3.84e-5
line2d_13.4_8.3_6.csv,21,6,"[13.4, 8.3]","[13.375618286605851, 8.76368766900267]",6,11.218588565122388,2.11e-5
line2d_13.6_12.4_23.csv,77,23,"[13.6, 12.4]","[13.602191930353715, 12.496123027011825]",5,53.987827880321355,6.18e-5
line2d_14.3_20.6_4.csv,16,4,"[14.3, 20.6]","[14.247338616332042, 21.151980939313752]",5,8.48986519050834,1.57e-5
line2d_14.7_1.0_23.csv,79,23,"[14.7, 1.0]","[14.6956270722797, 1.277296989965003]",5,48.61656532293313,6.37e-5
line2d_15.6_15.9_14.csv,49,14,"[15.6, 15.9]","[15.608180680781354, 15.966527726447593]",6,31.28977695226162,3.75e-5
line2d_16.1_-11.1_3.csv,13,3,"[16.1, -11.1]","[16.152411411094675, -10.784216337451378]",6,6.614126630339208,1.82e-5
line2d_17.4_-22.9_9.csv,30,9,"[17.4, -22.9]","[8.109883705009963, 51.88350558216189]",8,61300.01204775247,3.53e-5
line2d_17.5_19.0_17.csv,59,17,"[17.5, 19.0]","[17.480730520828764, 18.895677646814736]",5,25.693915338947818,4.335e-5
line2d_17.6_-6.0_11.csv,38,11,"[17.6, -6.0]","[17.601353254636727, -6.130557373670266]",6,26.93317675147815,3.58e-5
line2d_17.9_-22.3_6.csv,23,6,"[17.9, -22.3]","[17.91813705121655, -21.850166131456582]",4,10.733645648932606,1.43e-5
line2d_18.5_29.5_5.csv,17,5,"[18.5, 29.5]","[18.497986387031354, 29.58248176954679]",5,6.447967352097506,1.56e-5
line2d_18.6_-2.2_16.csv,56,16,"[18.6, -2.2]","[18.586859418170366, -2.2518207623203974]",5,29.53843176712289,4.24e-5
line2d_19.6_-25.5_26.csv,89,26,"[19.6, -25.5]","[19.602041010654034, -25.585706236107455]",6,69.77087224843689,9.29e-5
line2d_2.1_27.8_6.csv,20,6,"[2.1, 27.8]","[2.098198700313396, 27.654953630654244]",6,18.9959213094723,2.2e-5
line2d_2.9_26.8_2.csv,9,2,"[2.9, 26.8]","[1.502429402359394, 12.135055806538384]",5,1220.898851028251,1.22e-5
line2d_20.7_9.5_26.csv,87,26,"[20.7, 9.5]","[20.719090168835816, 9.488004549502003]",5,52.88759163581783,7.16e-5
line2d_21.4_-13.2_6.csv,21,6,"[21.4, -13.2]","[21.347727162967548, -13.357422884633499]",5,17.014594254161896,1.74e-5
line2d_22.6_12.2_18.csv,62,18,"[22.6, 12.2]","[22.606011689611734, 12.09904430592266]",5,60.72838976232212,4.635e-5
line2d_23.6_-9.2_14.csv,49,14,"[23.6, -9.2]","[23.599928698065344, -9.474460982923317]",5,31.319591338524415,3.12e-5
line2d_23.6_29.2_16.csv,54,16,"[23.6, 29.2]","[23.628241474486874, 29.252880478447132]",5,28.395021972311127,3.935e-5
line2d_23.9_-6.8_4.csv,16,4,"[23.9, -6.8]","[23.925508154348687, -6.659903574305148]",5,15.114627044196034,1.49e-5
line2d_24.5_-23.2_24.csv,83,24,"[24.5, -23.2]","[24.510222944817816, -23.12638994829367]",5,76.85079977820845,6.815e-5
line2d_24.6_-1.6_27.csv,92,27,"[24.6, -1.6]","[24.588812850940776, -1.685746883074937]",5,68.07824603015354,8.18e-5
