1,2,3,4,5,6,7,8
line2d_-1.4_-28.6_17.csv,58,17,"[-1.4, -28.6]","[-1.3999999996915125, -28.599999974840074]",5,2.516181859577776e-8,4.13e-5
line2d_-10.7_8.4_5.csv,17,5,"[-10.7, 8.4]","[-10.699999992971803, 8.400001201154495]",5,1.2011750564992668e-6,1.53e-5
line2d_-11.5_12.2_6.csv,22,6,"[-11.5, 12.2]","[-11.499999999732566, 12.199999920768377]",6,7.923207349193893e-8,2.145e-5
line2d_-12.6_-22.2_10.csv,34,10,"[-12.6, -22.2]","[-12.600000079926678, -22.199996633292358]",5,3.3676562499310107e-6,2.75e-5
line2d_-12.9_25.9_4.csv,15,4,"[-12.9, 25.9]","[-12.899999999999947, 25.90000036147816]",6,3.614781611815982e-7,1.83e-5
line2d_-15.4_-21.1_8.csv,28,8,"[-15.4, -21.1]","[-15.400000016075369, -21.0999987977796]",6,1.2023278699562484e-6,2.76e-5
line2d_-15.8_-29.4_3.csv,12,3,"[-15.8, -29.4]","[-15.79999995450223, -29.400001347399474]",5,1.3481674205617572e-6,1.35e-5
line2d_-15.9_-12.1_29.csv,97,29,"[-15.9, -12.1]","[-15.900000000012739, -12.100000075254702]",5,7.525470310361089e-8,8.295e-5
line2d_-16.6_-7.5_3.csv,11,3,"[-16.6, -7.5]","[-16.600000014342815, -7.500002218448067]",5,2.218494431451568e-6,1.3e-5
line2d_-16.6_2.1_6.csv,23,6,"[-16.6, 2.1]","[-16.599999999997447, 2.0999994626716307]",4,5.373283693604556e-7,1.46e-5
line2d_-16.9_-26.1_8.csv,28,8,"[-16.9, -26.1]","[-16.90000000057343, -26.100000259160538]",6,2.5916117099023997e-7,2.765e-5
line2d_-17.9_-0.5_9.csv,30,9,"[-17.9, -0.5]","[-17.89999999702693, -0.4999995708497034]",5,4.2916059485959307e-7,2.2e-5
line2d_-17.9_-13.4_15.csv,51,15,"[-17.9, -13.4]","[-17.900000000088603, -13.399999990164025]",5,9.836374666904894e-9,3.72e-5
line2d_-18.2_12.1_22.csv,75,22,"[-18.2, 12.1]","[-18.19999999993974, 12.100000007848724]",5,7.848955643631468e-9,5.855e-5
line2d_-19.0_6.3_5.csv,19,5,"[-19.0, 6.3]","[-18.999999984161168, 6.300004433686798]",4,4.433715089251077e-6,1.33e-5
line2d_-19.5_-4.5_6.csv,21,6,"[-19.5, -4.5]","[-19.49999992532024, -4.499997587835765]",6,2.413319987337874e-6,2.04e-5
line2d_-2.0_13.7_12.csv,40,12,"[-2.0, 13.7]","[-1.999999999878864, 13.699999939750265]",5,6.02498558664407e-8,3.095e-5
line2d_-20.3_12.7_24.csv,80,24,"[-20.3, 12.7]","[-20.300000000555823, 12.700000283208908]",5,2.83209454192962e-7,6.565e-5
line2d_-20.4_7.2_11.csv,37,11,"[-20.4, 7.2]","[-20.400000001827244, 7.199999876079344]",5,1.2393412686140827e-7,2.875e-5
line2d_-21.7_-19.4_21.csv,72,21,"[-21.7, -19.4]","[-21.699999999501276, -19.40000005921447]",6,5.9216571711134424e-8,6.685e-5
line2d_-22.6_24.8_26.csv,89,26,"[-22.6, 24.8]","[-22.600000000090613, 24.799999964625652]",5,3.5374464835342396e-8,7.26e-5
line2d_-22.7_-0.7_14.csv,47,14,"[-22.7, -0.7]","[-22.70000000100871, -0.7000002805462007]",5,2.8054801413331484e-7,3.15e-5
line2d_-23.0_7.3_2.csv,9,2,"[-23.0, 7.3]","[-22.999999970548274, 7.299998140445714]",4,1.8597875000993253e-6,1.045e-5
line2d_-23.6_7.1_19.csv,66,19,"[-23.6, 7.1]","[-23.600000000426615, 7.100000074037302]",5,7.403853160420017e-8,5.16e-5
line2d_-23.9_-24.6_27.csv,91,27,"[-23.9, -24.6]","[-23.899999993404624, -24.599999478464632]",5,5.215770706902203e-7,7.0e-5
line2d_-24.0_-15.7_16.csv,54,16,"[-24.0, -15.7]","[-24.000000000220357, -15.700000039429451]",5,3.9430067447156403e-8,3.965e-5
line2d_-24.0_14.7_23.csv,77,23,"[-24.0, 14.7]","[-23.999999998617692, 14.699999910491584]",5,8.951908797908573e-8,6.12e-5
line2d_-24.4_-23.9_18.csv,63,18,"[-24.4, -23.9]","[-24.400000009337877, -23.89999797242363]",5,2.027597870532356e-6,4.87e-5
line2d_-24.5_13.3_24.csv,82,24,"[-24.5, 13.3]","[-24.49999999998512, 13.300000010813083]",5,1.081309222192203e-8,6.2e-5
line2d_-25.0_22.8_20.csv,67,20,"[-25.0, 22.8]","[-24.999999999956735, 22.799999996085543]",6,3.914697178821872e-9,6.07e-5
line2d_-26.5_16.0_30.csv,100,30,"[-26.5, 16.0]","[-26.499999999993108, 15.999999999114355]",6,8.856721529137911e-10,0.00010335
line2d_-28.5_6.8_18.csv,60,18,"[-28.5, 6.8]","[-28.500000000082245, 6.800000007047153]",6,7.047632997857204e-9,5.25e-5
line2d_-29.0_-18.8_9.csv,32,9,"[-29.0, -18.8]","[-28.99999999102549, -18.799999491064714]",6,5.090144084238105e-7,3.085e-5
line2d_-29.2_-29.9_7.csv,26,7,"[-29.2, -29.9]","[-29.199999993693183, -29.90000018381781]",5,1.8392597283211512e-7,2.26e-5
line2d_-3.0_-8.0_28.csv,95,28,"[-3.0, -8.0]","[-2.999999999974047, -7.999999986748719]",5,1.3251306376256524e-8,7.73e-5
line2d_-3.1_15.6_22.csv,75,22,"[-3.1, 15.6]","[-3.1000000032033053, 15.599999708395123]",5,2.916224708975235e-7,5.82e-5
line2d_-4.0_-8.0_21.csv,73,21,"[-4.0, -8.0]","[-4.000000000014279, -8.000000008037526]",5,8.037538884198634e-9,5.56e-5
line2d_-4.2_-8.1_18.csv,63,18,"[-4.2, -8.1]","[-4.200000000024383, -8.099999994467298]",5,5.532755137370935e-9,4.76e-5
line2d_-5.5_13.5_25.csv,84,25,"[-5.5, 13.5]","[-5.499999997056219, 13.499998799193728]",5,1.2008098805347525e-6,7.195e-5
line2d_-5.8_-1.3_5.csv,18,5,"[-5.8, -1.3]","[-5.7999999994838625, -1.2999999597862526]",6,4.0217059579091946e-8,1.89e-5
line2d_-6.3_11.5_26.csv,88,26,"[-6.3, 11.5]","[-6.299999999407686, 11.49999992962003]",5,7.038246269112014e-8,7.335e-5
line2d_-6.7_-6.5_26.csv,88,26,"[-6.7, -6.5]","[-6.700000000007346, -6.49999999851531]",6,1.4847078784113686e-9,8.48e-5
line2d_-7.9_-11.8_19.csv,64,19,"[-7.9, -11.8]","[-7.8999999981011975, -11.800000047195352]",6,4.723353329575308e-8,5.93e-5
line2d_-8.4_-10.2_21.csv,73,21,"[-8.4, -10.2]","[-8.400000000041452, -10.20000001990606]",5,1.9906103957606447e-8,5.645e-5
line2d_-8.5_-24.5_14.csv,47,14,"[-8.5, -24.5]","[-8.499999999592312, -24.499999869463544]",6,1.3053709294984656e-7,3.865e-5
line2d_-9.9_-6.1_16.csv,54,16,"[-9.9, -6.1]","[-9.899999999960375, -6.100000003100281]",6,3.1005341385297937e-9,4.69e-5
line2d_0.1_-16.6_5.csv,19,5,"[0.1, -16.6]","[0.10000000097641151, -16.599999775455473]",6,2.2454665165692065e-7,2.055e-5
line2d_1.0_-19.4_13.csv,44,13,"[1.0, -19.4]","[0.9999999998840763, -19.399999976861423]",5,2.3138865885781058e-8,3.22e-5
line2d_1.2_-20.6_19.csv,65,19,"[1.2, -20.6]","[1.2000000000355628, -20.599999992674405]",5,7.325682451102233e-9,4.775e-5
line2d_1.3_2.9_2.csv,8,2,"[1.3, 2.9]","[1.3, 2.899999824286801]",5,1.7571319910203442e-7,1.04e-5
line2d_10.7_7.0_20.csv,68,20,"[10.7, 7.0]","[10.699999999988735, 6.999999984886174]",5,1.511382994379628e-8,5.03e-5
line2d_10.8_8.4_8.csv,29,8,"[10.8, 8.4]","[10.799999999963724, 8.399997028835093]",4,2.97116490721669e-6,1.96e-5
line2d_11.2_-19.3_10.csv,35,10,"[11.2, -19.3]","[11.199999999806188, -19.299999887713685]",5,1.1228648262012343e-7,2.78e-5
line2d_11.7_18.3_24.csv,83,24,"[11.7, 18.3]","[11.70000000000885, 18.299999963828196]",5,3.61718061897666e-8,6.565e-5
line2d_12.6_3.2_28.csv,94,28,"[12.6, 3.2]","[12.600000000008562, 3.2000000011023237]",6,1.102356817078289e-9,9.09e-5
line2d_12.9_-1.9_10.csv,36,10,"[12.9, -1.9]","[12.900000000098206, -1.9000002003999468]",5,2.0039997092203464e-7,2.95e-5
line2d_13.0_15.7_3.csv,13,3,"[13.0, 15.7]","[13.000000028183253, 15.699998327318873]",5,1.672918541114835e-6,1.515e-5
line2d_13.4_9.1_26.csv,87,26,"[13.4, 9.1]","[13.399999998644327, 9.100000167574343]",5,1.67579827327496e-7,7.26e-5
line2d_13.5_-4.6_30.csv,100,30,"[13.5, -4.6]","[13.500000000919963, -4.600000114311837]",5,1.1431553912346975e-7,8.925e-5
line2d_13.5_17.7_24.csv,82,24,"[13.5, 17.7]","[13.499999999880826, 17.70000000790065]",5,7.901547787744308e-9,6.625e-5
line2d_16.1_5.5_5.csv,17,5,"[16.1, 5.5]","[16.10000000325257, 5.499999526443071]",5,4.735680985954004e-7,1.545e-5
line2d_16.9_-4.6_2.csv,9,2,"[16.9, -4.6]","[16.899999982614485, -4.5999994452629895]",6,5.550093751096289e-7,1.47e-5
line2d_16.9_14.5_7.csv,26,7,"[16.9, 14.5]","[16.89999998328741, 14.499996726747433]",4,3.2732952320916156e-6,1.7e-5
line2d_19.7_-17.9_16.csv,54,16,"[19.7, -17.9]","[19.70000000244738, -17.899999711739618]",5,2.8827077004201867e-7,3.9e-5
line2d_19.7_-26.7_17.csv,59,17,"[19.7, -26.7]","[19.700000003378626, -26.70000021693012]",5,2.1695643086607165e-7,4.42e-5
line2d_19.8_-18.6_14.csv,48,14,"[19.8, -18.6]","[19.79999999838495, -18.600002316713535]",4,2.3167140968500976e-6,2.565e-5
line2d_2.6_7.6_23.csv,79,23,"[2.6, 7.6]","[2.5999999898311827, 7.599998551002868]",4,1.4490328131413035e-6,4.845e-5
line2d_20.4_-0.2_26.csv,88,26,"[20.4, -0.2]","[20.4000000000465, -0.19999979378045243]",6,2.0621955282008125e-7,8.91e-5
line2d_21.1_-9.2_21.csv,70,21,"[21.1, -9.2]","[21.099999999776276, -9.200000028563268]",5,2.8564145245699747e-8,5.15e-5
line2d_21.4_19.3_12.csv,43,12,"[21.4, 19.3]","[21.4000000045189, 19.30000110279977]",5,1.1028090263818327e-6,2.84e-5
line2d_21.5_-7.1_25.csv,86,25,"[21.5, -7.1]","[21.49999999985639, -7.099999779341117]",5,2.2065892901054786e-7,7.02e-5
line2d_22.4_-19.1_21.csv,71,21,"[22.4, -19.1]","[22.400000001902914, -19.09999982634162]",6,1.7366880747302193e-7,6.715e-5
line2d_23.2_10.8_17.csv,58,17,"[23.2, 10.8]","[23.20000000005735, 10.800000143514955]",6,1.4351496604637257e-7,5.125e-5
line2d_23.3_9.0_14.csv,48,14,"[23.3, 9.0]","[23.30000000001252, 8.999999996737522]",6,3.262502309736339e-9,3.845e-5
line2d_23.7_-23.6_13.csv,46,13,"[23.7, -23.6]","[23.700000000115264, -23.60000000678416]",6,6.78513812315897e-9,3.77e-5
line2d_24.1_-19.6_21.csv,72,21,"[24.1, -19.6]","[24.100000000132717, -19.599999994012546]",5,5.988926535329485e-9,5.34e-5
line2d_24.6_-2.5_22.csv,75,22,"[24.6, -2.5]","[24.600000000366823, -2.500000697196471]",5,6.971965672772455e-7,5.92e-5
line2d_25.0_17.5_8.csv,27,8,"[25.0, 17.5]","[12.461592491006616, -75.05831093950344]",7,93.40370756471813,3.215e-5
line2d_26.5_-22.2_13.csv,45,13,"[26.5, -22.2]","[26.49999999201958, -22.19999854119814]",5,1.458823686389743e-6,3.045e-5
line2d_27.1_7.0_12.csv,41,12,"[27.1, 7.0]","[27.099999999762552, 7.000000012021211]",6,1.2023555574274272e-8,3.78e-5
line2d_27.8_9.3_25.csv,86,25,"[27.8, 9.3]","[27.799999999929547, 9.300000008323408]",5,8.32370591545587e-9,6.9e-5
line2d_28.0_-29.0_14.csv,48,14,"[28.0, -29.0]","[27.99999999908971, -29.000000101043234]",5,1.0104733450853502e-7,3.15e-5
line2d_28.0_19.5_12.csv,40,12,"[28.0, 19.5]","[27.99999998337683, 19.499997857774577]",7,2.142289917810698e-6,4.245e-5
line2d_28.3_-23.7_26.csv,88,26,"[28.3, -23.7]","[28.29999999986452, -23.700000041961626]",5,4.196184576843875e-8,7.355e-5
line2d_28.6_27.2_24.csv,83,24,"[28.6, 27.2]","[28.599999999986384, 27.199999988569886]",5,1.1430121856183953e-8,6.555e-5
line2d_29.0_-3.2_2.csv,8,2,"[29.0, -3.2]","[29.000000008149378, -3.1999993158209263]",6,6.84227606460883e-7,1.41e-5
line2d_29.2_-22.1_13.csv,45,13,"[29.2, -22.1]","[29.199999999990364, -22.1000000036356]",6,3.6356112560520256e-9,3.57e-5
line2d_29.2_-3.5_13.csv,45,13,"[29.2, -3.5]","[9.789525364229414, -5.859537637794686]",4,19.553361436082106,2.38e-5
line2d_29.9_-5.9_27.csv,93,27,"[29.9, -5.9]","[29.89999999564078, -5.899999574135263]",5,4.2588704749411994e-7,7.94e-5
line2d_29.9_22.5_7.csv,25,7,"[29.9, 22.5]","[29.900000007107927, 22.499999393256974]",5,6.067846584751973e-7,2.225e-5
line2d_3.5_-4.5_12.csv,42,12,"[3.5, -4.5]","[3.500000000165936, -4.5000000116726575]",5,1.1673836905160206e-8,2.825e-5
line2d_3.6_22.9_27.csv,90,27,"[3.6, 22.9]","[3.6000000000499877, 22.90000001116079]",5,1.1160905121499117e-8,7.005e-5
line2d_4.0_-23.2_29.csv,97,29,"[4.0, -23.2]","[3.9999999993013065, -23.200000256767186]",5,2.56768137679579e-7,8.34e-5
line2d_4.7_21.8_27.csv,92,27,"[4.7, 21.8]","[4.699999999574042, 21.800000024926433]",5,2.493007172124179e-8,7.62e-5
line2d_6.5_-4.8_7.csv,25,7,"[6.5, -4.8]","[6.500000000125141, -4.799999970732718]",5,2.9267549468025616e-8,2.16e-5
line2d_7.3_-21.6_9.csv,30,9,"[7.3, -21.6]","[7.299999999786019, -21.5999999536715]",5,4.632899608546354e-8,2.3e-5
line2d_8.0_-26.2_3.csv,13,3,"[8.0, -26.2]","[8.00000000953617, -26.199997921078417]",5,2.0789434538844617e-6,1.51e-5
line2d_8.9_-16.6_14.csv,48,14,"[8.9, -16.6]","[8.90000000206517, -16.599999851750233]",5,1.4826415157304222e-7,3.08e-5
line2d_9.4_-20.5_15.csv,50,15,"[9.4, -20.5]","[9.399999998804239, -20.49999994752489]",5,5.2488730975692356e-8,3.33e-5
line2d_9.5_-25.8_5.csv,19,5,"[9.5, -25.8]","[9.500000009812188, -25.79999831892324]",5,1.68110539634138e-6,1.725e-5
