1,2,3,4,5,6,7,8,9
line2d_-1.4_-28.6_17.csv,58,17,"[-1.4, -28.6]","[-1.3999999948955226, -28.59999958367358]",10,5,4.163577134287048e-7,5.895e-5
line2d_-10.7_8.4_5.csv,17,5,"[-10.7, 8.4]","[-10.699999613274446, 8.400066093321602]",11,5,6.609445299695654e-5,2.995e-5
line2d_-11.5_12.2_6.csv,22,6,"[-11.5, 12.2]","[-11.49999987822968, 12.199963923610522]",13,6,3.6076594985492364e-5,4.015e-5
line2d_-12.6_-22.2_10.csv,34,10,"[-12.6, -22.2]","[-12.600000071105816, -22.19999700378583]",15,6,2.9970577898280778e-6,6.025e-5
line2d_-12.9_25.9_4.csv,15,4,"[-12.9, 25.9]","[-12.899999999999997, 25.900002224378735]",15,6,2.2243787363152023e-6,4.07e-5
line2d_-15.4_-21.1_8.csv,28,8,"[-15.4, -21.1]","[-15.40000004591547, -21.09999656566817]",17,7,3.4346387513237315e-6,6.2e-5
line2d_-15.8_-29.4_3.csv,12,3,"[-15.8, -29.4]","[-15.799999419927095, -29.40001717864304]",12,5,1.7188433940281398e-5,2.93e-5
line2d_-15.9_-12.1_29.csv,97,29,"[-15.9, -12.1]","[-15.900000000740345, -12.100004377882344]",11,6,4.377882407241575e-6,0.0001178
line2d_-16.6_-7.5_3.csv,11,3,"[-16.6, -7.5]","[-16.60000025344342, -7.50003920088669]",8,4,3.920170596822068e-5,1.855e-5
line2d_-16.6_2.1_6.csv,23,6,"[-16.6, 2.1]","[-16.599999999980263, 2.0999971577668455]",6,4,2.842233154678172e-6,1.795e-5
line2d_-16.9_-26.1_8.csv,28,8,"[-16.9, -26.1]","[-16.900000001711152, -26.100000772698685]",16,6,7.72700578391044e-7,5.645e-5
line2d_-17.9_-0.5_9.csv,30,9,"[-17.9, -0.5]","[-17.89999980675771, -0.4999721061414423]",11,5,2.7894527918947843e-5,3.83e-5
line2d_-17.9_-13.4_15.csv,51,15,"[-17.9, -13.4]","[-17.899999977488417, -13.400002498994718]",10,5,2.4990961108050832e-6,5.295e-5
line2d_-18.2_12.1_22.csv,75,22,"[-18.2, 12.1]","[-18.19999999583082, 12.100000543054781]",9,5,5.430707853233721e-7,7.33e-5
