1,2,3,4,5,6,7
sphere2D_-0.4_-17.5_166.0_10.csv,50,10,"[-0.4, -17.5, 166.0]","[-0.4433753430239165, -17.596770378899148, 165.91771218268477]",7,1.7875075420137262e6
sphere2D_-0.4_22.3_109.0_6.csv,32,6,"[-0.4, 22.3, 109.0]","[-0.34852265540968896, 22.38409804097453, 109.18929465049321]",6,1.0693618996267426e6
sphere2D_-0.5_34.8_40.0_7.csv,36,7,"[-0.5, 34.8, 40.0]","[-0.7881932547695486, 34.45774411574749, 39.87044503783758]",7,95678.77383693005
sphere2D_-1.8_29.2_169.0_7.csv,38,7,"[-1.8, 29.2, 169.0]","[-2.073481376984873, 29.797617455891398, 169.10511229891543]",7,1.8688033941091078e6
sphere2D_-10.7_-23.2_29.0_2.csv,11,2,"[-10.7, -23.2, 29.0]","[-10.607427174014804, -22.26204428060657, 28.799507911441886]",5,22635.143342813884
sphere2D_-10.8_36.7_46.0_3.csv,15,3,"[-10.8, 36.7, 46.0]","[-10.275409796032543, 37.56772232562268, 46.6968798403704]",5,125626.0411201457
sphere2D_-13.0_13.8_140.0_3.csv,19,3,"[-13.0, 13.8, 140.0]","[-12.575675320359446, 13.832557110625398, 140.14738746122657]",6,1.4794530772610367e6
sphere2D_-16.1_-14.7_108.0_7.csv,38,7,"[-16.1, -14.7, 108.0]","[-15.878273448558133, -14.418095890490449, 108.06351629552248]",6,721985.5977265844
sphere2D_-17.6_-15.7_75.0_4.csv,20,4,"[-17.6, -15.7, 75.0]","[-16.826675431147162, -15.784141501044719, 74.66068197405367]",7,461816.16091802216
sphere2D_-18.1_21.1_23.0_8.csv,43,8,"[-18.1, 21.1, 23.0]","[-18.073766758516935, 21.342935705397736, -22.761318677097325]",6,47567.750703127516
sphere2D_-18.4_-17.2_35.0_5.csv,25,5,"[-18.4, -17.2, 35.0]","[-18.310704792189004, -17.04702893438373, 35.478497191253986]",7,86520.35970428916
sphere2D_-18.9_-25.8_33.0_4.csv,24,4,"[-18.9, -25.8, 33.0]","[-18.93806249856472, -25.72189425122432, -32.77539803249759]",6,58919.734939450165
sphere2D_-2.0_38.3_11.0_10.csv,50,10,"[-2.0, 38.3, 11.0]","[-1.7691834954805834, 38.866195335738205, -10.79282164612688]",11,10125.401161233069
sphere2D_-2.7_-14.1_62.0_5.csv,25,5,"[-2.7, -14.1, 62.0]","[-3.149383643488919, -14.308361663783659, 62.04474986540746]",6,324657.26189117436
sphere2D_-2.8_-16.7_153.0_3.csv,15,3,"[-2.8, -16.7, 153.0]","[-3.033767595680056, -16.46302887608043, 152.7394882729845]",6,792363.7637806362
sphere2D_-2.9_22.6_101.0_2.csv,13,2,"[-2.9, 22.6, 101.0]","[-1.9769752192252565, 22.52600130812544, 100.84168393642813]",6,274361.6413118126
sphere2D_-20.0_10.3_71.0_9.csv,49,9,"[-20.0, 10.3, 71.0]","[-20.21202662313877, 10.225285955088983, 70.84153866261275]",6,452798.80973833357
sphere2D_-20.4_-11.3_163.0_5.csv,29,5,"[-20.4, -11.3, 163.0]","[-20.68304605190741, -11.110835590664314, 162.94725404378087]",7,2.3639877174070226e6
sphere2D_-21.0_-22.8_105.0_2.csv,11,2,"[-21.0, -22.8, 105.0]","[-21.47152105297234, -22.07498542896237, 104.49089084248618]",7,299880.1801862438
sphere2D_-21.0_-34.1_150.0_7.csv,37,7,"[-21.0, -34.1, 150.0]","[-21.07127009354453, -33.69874660703148, 149.87339796072519]",5,2.6905610583233964e6
sphere2D_-22.7_33.5_35.0_8.csv,42,8,"[-22.7, 33.5, 35.0]","[-23.011694833248804, 33.42414061986957, -35.217578143097654]",6,78327.0495609434
sphere2D_-23.0_-32.7_83.0_4.csv,22,4,"[-23.0, -32.7, 83.0]","[-23.050215241592877, -32.48663079072847, 83.1198133196822]",6,339624.2038461764
sphere2D_-24.3_-20.1_17.0_9.csv,48,9,"[-24.3, -20.1, 17.0]","[-24.628585268924837, -20.087940690952685, -17.006845935358513]",8,21388.95224927065
sphere2D_-25.2_-7.0_55.0_1.csv,9,1,"[-25.2, -7.0, 55.0]","[-24.852069017336145, -7.13172230564475, 54.662984777848926]",6,37686.478466467364
sphere2D_-25.7_29.9_43.0_9.csv,48,9,"[-25.7, 29.9, 43.0]","[-25.921467142439027, 29.94464695720359, 43.39280779192692]",50,202996.3675082885
sphere2D_-26.0_-36.4_30.0_8.csv,40,8,"[-26.0, -36.4, 30.0]","[-26.086644610454133, -36.637921461986195, -30.15049308213856]",7,84024.68417487438
sphere2D_-26.0_38.3_134.0_5.csv,28,5,"[-26.0, 38.3, 134.0]","[-25.522345056798898, 38.48105114997447, 133.9037532495703]",7,1.832625365030677e6
sphere2D_-26.9_-10.9_85.0_1.csv,8,1,"[-26.9, -10.9, 85.0]","[-28.1405120440307, -13.13888274376902, 84.02532947194372]",5,962378.5011792555
sphere2D_-27.1_26.9_45.0_4.csv,23,4,"[-27.1, 26.9, 45.0]","[-27.11388908100626, 26.547163947106284, 44.97746354112811]",6,49981.12676845783
sphere2D_-28.7_-36.5_15.0_8.csv,40,8,"[-28.7, -36.5, 15.0]","[-29.005909096886374, -37.02651794291451, -14.95474607079423]",10,12154.20663930151
sphere2D_-29.5_11.6_7.0_2.csv,12,2,"[-29.5, 11.6, 7.0]","[-30.245925223621363, 12.157890352377283, -7.865945628415764]",6,1068.0092875677037
sphere2D_-30.6_-32.1_162.0_9.csv,45,9,"[-30.6, -32.1, 162.0]","[-30.752657484124924, -31.983685808180212, 162.18531270642643]",8,2.2265508379650195e6
sphere2D_-31.4_14.3_15.0_9.csv,47,9,"[-31.4, 14.3, 15.0]","[-31.099660865194597, 14.234363871987638, -14.723810376042358]",7,21936.463910746927
sphere2D_-33.6_-20.1_147.0_7.csv,39,7,"[-33.6, -20.1, 147.0]","[-33.021542381123915, -20.010708408582367, 146.94727614531496]",6,1.6807750316501427e6
sphere2D_-34.0_29.7_130.0_8.csv,42,8,"[-34.0, 29.7, 130.0]","[-34.0229101853008, 29.593074573352084, 130.41841315258748]",7,1.5958502133072815e6
