1,2,3,4,5,6,7,8
sphere2D_-0.4_-17.5_166.0_10.csv,50,10,"[-0.4, -17.5, 166.0]","[-0.4433753430205528, -17.59677037890553, 165.9177121827333]",26,5,1.7875075420137318e6
sphere2D_-0.4_22.3_109.0_6.csv,32,6,"[-0.4, 22.3, 109.0]","[-0.34852265539123395, 22.384098040996125, 109.18929465049612]",26,5,1.0693618996267363e6
sphere2D_-0.5_34.8_40.0_7.csv,36,7,"[-0.5, 34.8, 40.0]","[-0.7881932547696381, 34.45774411574769, 39.87044503783746]",19,5,95678.77383693022
sphere2D_-1.8_29.2_169.0_7.csv,38,7,"[-1.8, 29.2, 169.0]","[-2.073481376991066, 29.797617455886506, 169.10511230045037]",130,5,1.8688033941090978e6
sphere2D_-10.7_-23.2_29.0_2.csv,11,2,"[-10.7, -23.2, 29.0]","[-10.222619207962175, -22.205343665566588, 28.346684972352968]",8,3,25284.67035930226
sphere2D_-10.8_36.7_46.0_3.csv,15,3,"[-10.8, 36.7, 46.0]","[-10.47875517190191, 36.514378498447115, 45.849602291126565]",15,4,78192.00416576013
sphere2D_-13.0_13.8_140.0_3.csv,19,3,"[-13.0, 13.8, 140.0]","[-12.57567532037796, 13.832557110553982, 140.14738746126105]",20,4,1.4794530772610453e6
sphere2D_-16.1_-14.7_108.0_7.csv,38,7,"[-16.1, -14.7, 108.0]","[-15.878273448554504, -14.418095890595191, 108.06351629549404]",25,5,721985.597726584
sphere2D_-17.6_-15.7_75.0_4.csv,20,4,"[-17.6, -15.7, 75.0]","[-16.826675431143308, -15.784141501039137, 74.66068197399275]",21,5,461816.1609180251
sphere2D_-18.1_21.1_23.0_8.csv,43,8,"[-18.1, 21.1, 23.0]","[-18.0737667585179, 21.342935705403807, -22.761318677105084]",15,4,47567.7507031275
sphere2D_-18.4_-17.2_35.0_5.csv,25,5,"[-18.4, -17.2, 35.0]","[-18.310704792188258, -17.047028934380904, 35.47849719126149]",24,5,86520.35970428868
sphere2D_-18.9_-25.8_33.0_4.csv,24,4,"[-18.9, -25.8, 33.0]","[-18.678656900650285, -25.421782682596536, -32.56767435660931]",10,5,53898.24042860663
sphere2D_-2.0_38.3_11.0_10.csv,50,10,"[-2.0, 38.3, 11.0]","[-1.8911114738370431, 38.81021908736352, -10.73230859742407]",25,8,10082.198178795275
sphere2D_-2.7_-14.1_62.0_5.csv,25,5,"[-2.7, -14.1, 62.0]","[-3.149383643443748, -14.308361664190798, 62.04474986553218]",22,5,324657.26189117436
sphere2D_-2.8_-16.7_153.0_3.csv,15,3,"[-2.8, -16.7, 153.0]","[-3.0337675956357466, -16.463028876126046, 152.7394882730006]",20,4,792363.7637806287
sphere2D_-2.9_22.6_101.0_2.csv,13,2,"[-2.9, 22.6, 101.0]","[-1.9769752192291234, 22.526001308124574, 100.84168393643179]",19,4,274361.6413118138
sphere2D_-20.0_10.3_71.0_9.csv,49,9,"[-20.0, 10.3, 71.0]","[-20.212026623141522, 10.225285955088772, 70.84153866262623]",25,6,452798.8097383332
sphere2D_-20.4_-11.3_163.0_5.csv,29,5,"[-20.4, -11.3, 163.0]","[-20.68304605190745, -11.11083559066428, 162.94725404378113]",21,4,2.3639877174070203e6
sphere2D_-21.0_-22.8_105.0_2.csv,11,2,"[-21.0, -22.8, 105.0]","[-21.471521052972033, -22.07498542896245, 104.49089084248908]",56,5,299880.1801862451
sphere2D_-21.0_-34.1_150.0_7.csv,37,7,"[-21.0, -34.1, 150.0]","[-20.735606988680974, -33.70096310837051, 149.8303770116679]",23,5,2.5802834210419273e6
sphere2D_-22.7_33.5_35.0_8.csv,42,8,"[-22.7, 33.5, 35.0]","[-23.011694833250782, 33.424140619864154, -35.21757814294488]",20,6,78327.04956094341
sphere2D_-23.0_-32.7_83.0_4.csv,22,4,"[-23.0, -32.7, 83.0]","[-23.050215241630763, -32.48663079072012, 83.11981331990178]",55,5,339624.20384617697
sphere2D_-24.3_-20.1_17.0_9.csv,48,9,"[-24.3, -20.1, 17.0]","[-24.538748664368654, -19.99847569291201, -17.080705440448284]",18,5,21200.926036881847
sphere2D_-25.2_-7.0_55.0_1.csv,9,1,"[-25.2, -7.0, 55.0]","[-24.852069016983496, -7.131722306891339, 54.66298478633744]",16,4,37686.47846646764
sphere2D_-25.7_29.9_43.0_9.csv,48,9,"[-25.7, 29.9, 43.0]","[-25.921467142716875, 29.94464695773703, 43.39280779441658]",18,5,202996.36750828888
sphere2D_-26.0_-36.4_30.0_8.csv,40,8,"[-26.0, -36.4, 30.0]","[-26.144580003775783, -36.8922526785319, -30.014818554098213]",119,6,80055.31654322351
sphere2D_-26.0_38.3_134.0_5.csv,28,5,"[-26.0, 38.3, 134.0]","[-25.52234505680003, 38.48105114997358, 133.90375324957674]",27,4,1.8326253650306533e6
sphere2D_-26.9_-10.9_85.0_1.csv,8,1,"[-26.9, -10.9, 85.0]","[-27.522912080110913, -10.035031831982096, 85.60039110169613]",18,4,29257.059184105652
sphere2D_-27.1_26.9_45.0_4.csv,23,4,"[-27.1, 26.9, 45.0]","[-27.113889081007365, 26.547163947105933, 44.97746354113027]",15,4,49981.12676845784
sphere2D_-28.7_-36.5_15.0_8.csv,40,8,"[-28.7, -36.5, 15.0]","[-28.52004271745298, -37.09001410018389, -15.123174930452622]",15,4,13577.0309299943
sphere2D_-29.5_11.6_7.0_2.csv,12,2,"[-29.5, 11.6, 7.0]","[-30.24592522388557, 12.157890352529613, -7.865945628784659]",12,4,1068.009287567704
sphere2D_-30.6_-32.1_162.0_9.csv,45,9,"[-30.6, -32.1, 162.0]","[-30.75265748412373, -31.98368580818196, 162.18531270642822]",36,6,2.2265508379650237e6
sphere2D_-31.4_14.3_15.0_9.csv,47,9,"[-31.4, 14.3, 15.0]","[-30.936697438565346, 14.308111713198562, -14.62768218560634]",15,4,21825.30303782298
sphere2D_-33.6_-20.1_147.0_7.csv,39,7,"[-33.6, -20.1, 147.0]","[-33.21871717576874, -19.995040944969055, 146.94410898889987]",53,4,1.6398590891304445e6
sphere2D_-34.0_29.7_130.0_8.csv,42,8,"[-34.0, 29.7, 130.0]","[-34.02291018530081, 29.593074573352084, 130.41841315258753]",26,4,1.5958502133072817e6
sphere2D_-34.4_-39.2_111.0_5.csv,27,5,"[-34.4, -39.2, 111.0]","[-34.151592099847285, -39.02507878317287, 110.98709312819815]",21,4,804291.3487941882
sphere2D_-34.4_-8.3_167.0_9.csv,48,9,"[-34.4, -8.3, 167.0]","[-34.273468725802175, -7.999432423515139, 166.88307193307548]",28,6,2.438855659340289e6
sphere2D_-35.2_28.6_20.0_5.csv,29,5,"[-35.2, 28.6, 20.0]","[-34.72272181230189, 28.479252348563566, -19.826974344497852]",18,5,36483.482896244604
sphere2D_-35.6_-28.2_6.0_6.csv,33,6,"[-35.6, -28.2, 6.0]","[-35.77485457716468, -28.162701509864654, -6.3503839006921075]",17,6,1066.8065241184356
sphere2D_-35.6_2.4_47.0_10.csv,50,10,"[-35.6, 2.4, 47.0]","[-35.74062154264868, 1.89356463545343, 46.869330238572076]",19,5,282307.2233851447
sphere2D_-36.2_33.6_47.0_7.csv,35,7,"[-36.2, 33.6, 47.0]","[-36.31933064274015, 33.72533957798523, -46.792812773274925]",14,5,204839.65484634606
sphere2D_-36.3_33.0_139.0_7.csv,36,7,"[-36.3, 33.0, 139.0]","[-36.47774103520913, 33.064810489536164, 138.52113949786326]",28,6,1.7399909935707918e6
sphere2D_-38.3_-35.9_63.0_8.csv,41,8,"[-38.3, -35.9, 63.0]","[-37.987365902746596, -35.55943849496778, 63.09510695784884]",17,4,336873.00511036743
sphere2D_-39.0_-20.4_92.0_5.csv,25,5,"[-39.0, -20.4, 92.0]","[-39.78936271220949, -20.042771959285755, 92.19068523121328]",118,5,437432.64013040083
sphere2D_-39.3_0.3_8.0_3.csv,18,3,"[-39.3, 0.3, 8.0]","[-39.17428938340679, 0.6203901648026516, -8.117893605736551]",18,5,2542.5409280139575
sphere2D_-39.7_12.0_106.0_4.csv,20,4,"[-39.7, 12.0, 106.0]","[-40.13277250019648, 12.50528029910699, 106.01121615130177]",21,4,628290.0946169943
sphere2D_-4.7_-19.6_125.0_9.csv,49,9,"[-4.7, -19.6, 125.0]","[-4.782585701547323, -19.324283715713115, 124.91200369489141]",33,5,2.0022282660241793e6
sphere2D_-6.1_-24.4_10.0_8.csv,40,8,"[-6.1, -24.4, 10.0]","[-5.627648205449004, -24.407029116011696, -9.994638621507692]",17,5,5164.206893753035
sphere2D_-6.6_-18.8_59.0_4.csv,20,4,"[-6.6, -18.8, 59.0]","[-6.637968906131318, -18.972056958392024, 58.505122566357834]",23,5,134903.35651543838
sphere2D_-9.1_23.7_147.0_3.csv,15,3,"[-9.1, 23.7, 147.0]","[-8.724946846775685, 23.149961389400897, 147.06001787694063]",29,5,763661.1299967014
sphere2D_10.5_8.6_136.0_6.csv,30,6,"[10.5, 8.6, 136.0]","[10.163110513296383, 7.846833619307441, 135.87226227247285]",30,5,953600.1014125299
sphere2D_10.9_-4.4_31.0_5.csv,26,5,"[10.9, -4.4, 31.0]","[10.639422634174034, -3.905548166624524, 31.470944790679003]",18,4,55825.783496329124
sphere2D_12.1_-29.8_151.0_8.csv,44,8,"[12.1, -29.8, 151.0]","[12.140741532158152, -29.79652298574327, 150.83528610701202]",27,6,2.5166401447066e6
sphere2D_12.5_28.5_106.0_3.csv,18,3,"[12.5, 28.5, 106.0]","[13.068182408359982, 27.947949212900507, 105.79954331297911]",23,5,1.157519549474357e6
sphere2D_13.3_27.0_75.0_8.csv,41,8,"[13.3, 27.0, 75.0]","[13.288790283853867, 26.660168822444387, 74.71507010063014]",32,5,1.037375047463069e6
sphere2D_13.9_37.5_95.0_2.csv,11,2,"[13.9, 37.5, 95.0]","[13.944420083266603, 37.215598505898505, 94.80542027237097]",18,4,84792.05821785938
sphere2D_14.5_-23.6_168.0_3.csv,16,3,"[14.5, -23.6, 168.0]","[14.136973269485928, -23.96806429760241, 168.13791943295325]",25,6,422760.6963300563
sphere2D_15.3_-7.7_101.0_6.csv,32,6,"[15.3, -7.7, 101.0]","[15.57272540173474, -7.712742644292379, 101.24995737158942]",23,5,641909.8824975721
sphere2D_17.0_35.4_29.0_6.csv,31,6,"[17.0, 35.4, 29.0]","[17.137338366439458, 34.93177599772183, -29.088715921300892]",17,5,46355.93251155682
sphere2D_17.4_-25.1_39.0_1.csv,8,1,"[17.4, -25.1, 39.0]","[17.76376483586213, -25.734043524848136, 38.7393897932213]",14,4,36027.42242205213
sphere2D_17.7_-9.9_26.0_3.csv,17,3,"[17.7, -9.9, 26.0]","[17.591388027843504, -9.758743369442612, 26.642677847172774]",15,4,5308.040939281329
sphere2D_19.2_28.8_28.0_1.csv,9,1,"[19.2, 28.8, 28.0]","[19.222953598202118, 27.743274369963714, -28.645228120239732]",13,4,11401.160265802511
sphere2D_21.6_21.2_112.0_4.csv,23,4,"[21.6, 21.2, 112.0]","[21.640613667121293, 21.13637716049776, 112.09641727015283]",20,4,708821.4696302573
sphere2D_21.9_5.9_69.0_7.csv,37,7,"[21.9, 5.9, 69.0]","[22.031440282377087, 5.7693472183944134, 69.12661215600687]",22,5,309014.86831207003
