1,2,3,4,5,6,7,8,9
sphere2D_-0.2_12.8_21.0_12.csv,40,12,"[-0.2, 12.8, 21.0]","[-0.1999999968096678, 12.79999999738621, 21.000000009816745]",12,4,1.5620867044319198e-8,5.04e-5
sphere2D_-1.0_-30.4_100.0_9.csv,33,9,"[-1.0, -30.4, 100.0]","[-1.0000000000000033, -30.400000000000002, 100.0]",19,5,6.8833827526759706e-15,7.195e-5
sphere2D_-1.2_19.3_165.0_14.csv,48,14,"[-1.2, 19.3, 165.0]","[-1.1999999999990996, 19.300000000000022, 165.0000000000063]",27,6,7.231326648593495e-12,0.00011365
sphere2D_-1.3_-11.1_64.0_14.csv,47,14,"[-1.3, -11.1, 64.0]","[-1.2999999999892458, -11.099999999997166, 64.00000000003581]",21,6,4.939892939148649e-11,9.51e-5
sphere2D_-1.5_-36.0_138.0_15.csv,50,15,"[-1.5, -36.0, 138.0]","[-1.499999999994324, -35.99999999999617, 138.00000000008154]",58,6,9.104761389266969e-11,0.0001914
sphere2D_-10.0_31.5_86.0_6.csv,20,6,"[-10.0, 31.5, 86.0]","[-9.999999999999998, 31.499999999999996, 86.00000000000001]",18,5,1.9539925233402755e-14,4.9e-5
sphere2D_-10.4_9.7_9.0_12.csv,40,12,"[-10.4, 9.7, 9.0]","[-10.399999999970953, 9.699999999506222, -8.999999997991791]",12,5,2.53103316083525e-9,5.61e-5
sphere2D_-11.5_-15.9_61.0_3.csv,13,3,"[-11.5, -15.9, 61.0]","[-11.500000000000005, -15.9, 61.00000000000003]",21,6,3.375077994860476e-14,5.215e-5
sphere2D_-12.0_-36.1_82.0_7.csv,24,7,"[-12.0, -36.1, 82.0]","[-11.99999999999902, -36.10000000000018, 81.9999999999978]",18,6,3.360867140145274e-12,5.965e-5
sphere2D_-12.3_32.5_11.0_12.csv,40,12,"[-12.3, 32.5, 11.0]","[-12.300000000029273, 32.49999999997505, 10.999999999979748]",19,5,7.44719841350161e-11,7.825e-5
sphere2D_-12.6_12.4_129.0_8.csv,28,8,"[-12.6, 12.4, 129.0]","[-12.600000000026423, 12.399999999990738, 129.00000000013554]",26,6,1.7122836482030834e-10,8.75e-5
sphere2D_-12.8_-18.4_84.0_9.csv,33,9,"[-12.8, -18.4, 84.0]","[-12.800000000000002, -18.39999999999999, 83.99999999999999]",21,6,2.3092638912203256e-14,8.165e-5
sphere2D_-12.9_23.6_69.0_6.csv,20,6,"[-12.9, 23.6, 69.0]","[-12.899999999999979, 23.599999999999973, 69.00000000000016]",14,4,2.0605739337042905e-13,3.565e-5
sphere2D_-13.2_-3.6_105.0_4.csv,14,4,"[-13.2, -3.6, 105.0]","[-13.200000000008776, -3.600000000079556, 105.00000000020111]",69,6,2.89444912482395e-10,0.0001388
sphere2D_-14.3_27.0_17.0_14.csv,47,14,"[-14.3, 27.0, 17.0]","[-14.299999999991954, 26.9999999998907, -16.999999999065903]",11,4,1.0514433768094023e-9,4.86e-5
sphere2D_-15.1_3.2_35.0_14.csv,49,14,"[-15.1, 3.2, 35.0]","[-15.100000000000042, 3.200000000000055, 35.00000000000034]",17,5,4.383160501220118e-13,7.565e-5
sphere2D_-15.2_-7.5_148.0_6.csv,21,6,"[-15.2, -7.5, 148.0]","[-15.200000000000001, -7.5, 148.0]",20,5,1.7763568394002505e-15,5.8e-5
sphere2D_-17.5_-23.0_120.0_5.csv,17,5,"[-17.5, -23.0, 120.0]","[-17.499999999992216, -22.999999999999584, 119.99999999998765]",20,5,2.0548895918182097e-11,5.175e-5
sphere2D_-17.7_15.7_109.0_9.csv,31,9,"[-17.7, 15.7, 109.0]","[-17.700000000000106, 15.700000000000268, 109.00000000000175]",55,5,2.1227464230832993e-12,0.00014905
sphere2D_-18.1_8.5_44.0_14.csv,49,14,"[-18.1, 8.5, 44.0]","[-18.100000000000005, 8.499999999999996, 44.00000000000003]",17,5,3.552713678800501e-14,7.545e-5
sphere2D_-19.8_-25.6_6.0_13.csv,44,13,"[-19.8, -25.6, 6.0]","[-19.79999998628587, -25.599999989693874, 5.999999976635995]",11,4,4.738426451211808e-8,4.925e-5
sphere2D_-19.9_20.6_148.0_7.csv,24,7,"[-19.9, 20.6, 148.0]","[-19.900000000000023, 20.600000000000083, 148.00000000000063]",53,4,7.318590178329032e-13,0.0001275
