1,2,3,4,5,6,7,8
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.0, -94.3, 48.4, 56.0]","[-0.0025154403200621784, -94.19873888870852, 48.33134322243176, -56.01759804024869]",7,1.1045907988894481e7,0.01440555
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.7, -45.1, 10.6, 32.0]","[-1.9057140259420617, -45.10645477135441, 10.641397165585023, -31.9857669092753]",8,2.3542638448138423e6,0.00830285
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.3, 75.9, 72.1, 151.0]","[-10.286641087680827, 75.91248332393057, 72.10260418261343, 150.99840222156388]",8,1.1549110007042308e8,0.0244256
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-103.0, 75.3, -38.7, 98.0]","[-103.00319835219298, 75.20395028160603, -38.70513847577977, -97.96597646729495]",8,4.471665974661196e7,0.01929455
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.4, -115.2, -118.0, 141.0]","[-108.33433572525534, -115.24628048444548, -117.95381347308357, -140.93398093047568]",7,3.1138908219541457e7,0.00212385
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.6, 97.5, -56.7, 139.0]","[-109.61196971903544, 97.55586918619565, -56.80614046969334, -138.95660082919224]",7,7.70698570732557e7,0.01196095
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-111.9, -93.3, 55.4, 23.0]","[-111.95413711432701, -93.51884490439147, 55.62451119939315, -23.1097095985258]",10,540125.923507788,0.0020635
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.3, 96.4, 68.5, 53.0]","[-112.25880639900893, 96.34381670394805, 68.82431434095916, -52.93143845559543]",50,362750.89633437083,0.00075435
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.0, 78.6, -110.2, 150.0]","[-114.01881930760078, 78.61929302341842, -110.14888590241294, -150.02059191832555]",9,4.827231289508018e7,0.00613185
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-114.5, 46.3, 90.8, 147.0]","[-114.71235674480094, 46.28231136467229, 90.7945741660331, -146.88490074614413]",7,2.7273428744644325e7,0.0017309
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.5, 42.1, 46.8, 91.0]","[-116.56949932382997, 41.944769628915466, 46.76166624023921, -91.04612565790343]",7,1.3687570215343438e7,0.00290785
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.7, 22.4, -4.9, 48.0]","[-118.70929058766403, 22.20258952682456, -4.801859984171237, -48.04296655632803]",9,4.765613055565583e6,0.00610645
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.6, 119.0, -58.4, 118.0]","[-119.5978514991815, 119.11688774593269, -58.46087161449921, -118.05780430144694]",7,1.733835808790329e7,0.00140505
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.4, -17.8, 28.1, 25.0]","[-12.302787802244922, -17.66548299069847, 28.025740254877626, -24.950656082795472]",10,1.8489785098821092e6,0.0185984
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-13.2, 83.3, -58.5, 99.0]","[-13.174457155590718, 82.99654553189599, -58.346350107853745, 99.01126298928757]",8,3.974601726657801e7,0.0156126
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.9, 35.2, -115.1, 138.0]","[-19.838310051307076, 35.21786140152159, -115.14842817151829, 138.05963850595774]",8,3.616748804897176e7,0.00421195
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.2, 43.6, -77.8, 148.0]","[-20.170108037433238, 43.60864813640614, -77.79496081121096, 147.98211750965825]",8,1.0223236159378302e8,0.02216335
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-25.7, -104.3, 93.9, 130.0]","[-25.606357003070116, -104.37368078362739, 93.92751027069329, -129.95323241684306]",7,3.1517228295606013e7,0.0032924
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[-26.8, 114.9, -47.6, 124.0]","[-27.453365203037077, 115.282426191461, -47.72859655069079, -123.70898063666763]",7,678533.950778231,3.865e-5
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.0, -98.3, 34.5, 34.0]","[-30.134996086457146, -98.53428366114842, 34.64273439928576, -34.005134584314256]",12,5.249351136175425e6,0.0340211
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.5, 56.4, -105.5, 74.0]","[-30.378687613102993, 56.33668935226424, -105.48243203945471, -74.13487002805452]",8,1.1064033510653298e7,0.0052343
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.2, -91.8, 113.7, 75.0]","[-31.197552520695883, -91.74907433505567, 113.75852398151952, -74.97041391361535]",8,2.7987116112794098e7,0.02696765
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-36.0, 30.9, 23.2, 133.0]","[-36.0047609397412, 30.87610320971507, 23.27384635272744, 132.96503974828647]",10,7.232145315515868e7,0.01760025
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.5, -23.7, -59.6, 149.0]","[-45.51958993628191, -23.612402417341325, -59.555150463404715, 149.05557549315938]",9,8.094007999438632e7,0.0143867
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[-5.1, 116.5, -93.3, 156.0]","[-5.050430429581767, 116.59552755564273, -93.32878175461376, 156.03127401240795]",7,1.0995683332351027e8,0.01529295
sphere3D_-52.9_76.5_-77.5_26.0_405.csv,1932,405,"[-52.9, 76.5, -77.5, 26.0]","[-53.01260330925319, 76.57698548833697, -77.57251608508649, -26.026885669544125]",10,2.719893569113424e6,0.03065545
sphere3D_-54.7_108.5_3.6_7.0_78.csv,372,78,"[-54.7, 108.5, 3.6, 7.0]","[-54.81247642185211, 108.43329828226562, 3.364702569962984, -7.054275457762151]",15,30718.238942445358,0.00238485
sphere3D_-54.9_-98.9_-75.7_14.0_380.csv,1814,380,"[-54.9, -98.9, -75.7, 14.0]","[-54.919161505096724, -99.03043782757562, -75.60525417350146, -14.017970676224634]",14,619363.3472904743,0.0370551
sphere3D_-58.3_-45.2_24.6_117.0_219.csv,1045,219,"[-58.3, -45.2, 24.6, 117.0]","[-58.389844556759265, -45.28653010508078, 24.713285827243137, 116.98140891709036]",8,4.035173036014786e7,0.00805135
sphere3D_-59.2_59.5_-31.5_112.0_168.csv,800,168,"[-59.2, 59.5, -31.5, 112.0]","[-59.25184512708261, 59.3406085394976, -31.434800750885866, 111.9673462501548]",8,2.5823881694092453e7,0.00506115
sphere3D_-63.6_-77.9_-104.9_85.0_106.csv,509,106,"[-63.6, -77.9, -104.9, 85.0]","[-63.80245572044783, -78.06133469959255, -104.84691944354401, -84.93297143091752]",7,1.0365483794482252e7,0.00204955
sphere3D_-63.7_108.5_96.2_144.0_342.csv,1633,342,"[-63.7, 108.5, 96.2, 144.0]","[-63.69028232097127, 108.37912006478481, 96.25556417449546, -144.0468267252299]",8,9.384992235527426e7,0.0187245
sphere3D_-66.4_59.0_43.5_98.0_48.csv,233,48,"[-66.4, 59.0, 43.5, 98.0]","[-66.57420092028445, 59.25245727840944, 43.40701222237063, 97.79940610688924]",8,5.383340528887337e6,0.0006479
sphere3D_-67.6_53.2_-34.3_79.0_333.csv,1589,333,"[-67.6, 53.2, -34.3, 79.0]","[-67.66475501907162, 53.03654277156244, -34.283509104814264, -79.02786078655573]",8,2.44549678846619e7,0.0176328
sphere3D_-70.2_3.4_111.1_68.0_217.csv,1034,217,"[-70.2, 3.4, 111.1, 68.0]","[-70.26726638112326, 3.358239121924369, 111.14219074857552, -68.00241242626866]",10,1.2548118265424568e7,0.009995
sphere3D_-71.5_107.2_-13.6_63.0_371.csv,1768,371,"[-71.5, 107.2, -13.6, 63.0]","[-71.41344451013988, 107.2643263033645, -13.642889892306243, -63.04117537248092]",11,1.745773102404971e7,0.0288499
sphere3D_-74.1_-64.6_15.2_72.0_354.csv,1688,354,"[-74.1, -64.6, 15.2, 72.0]","[-73.99089807945214, -64.59998635951249, 15.135931825444404, -72.02728005803182]",8,2.300652382313768e7,0.0193534
sphere3D_-75.1_-24.1_91.1_164.0_34.csv,162,34,"[-75.1, -24.1, 91.1, 164.0]","[-74.95687241550722, -24.202381306285947, 91.23450261160002, 164.14797610219162]",7,1.1093641783807348e7,0.0003826
sphere3D_-79.2_-62.1_-84.8_83.0_78.csv,376,78,"[-79.2, -62.1, -84.8, 83.0]","[-79.20220778570129, -61.99488904074514, -84.68304609408447, -83.07229282936908]",8,6.457462911553587e6,0.0014254
sphere3D_-81.4_41.5_-60.3_57.0_123.csv,589,123,"[-81.4, 41.5, -60.3, 57.0]","[-81.47781130425587, 41.49431060183816, -60.401881467894974, -57.05393601018333]",8,5.450399865834672e6,0.0029124
sphere3D_-81.6_-20.3_-2.8_135.0_65.csv,311,65,"[-81.6, -20.3, -2.8, 135.0]","[-81.37760581653215, -20.162410467914622, -2.8240155961120093, 135.09311466026202]",50,1.3522528167197952e7,0.0060879
sphere3D_-82.8_-81.0_5.7_13.0_138.csv,659,138,"[-82.8, -81.0, 5.7, 13.0]","[-82.81962558201225, -81.02807332507075, 5.791171527358228, 12.965264618082779]",13,194870.41100328485,0.00555895
sphere3D_-84.1_84.0_67.1_82.0_144.csv,687,144,"[-84.1, 84.0, 67.1, 82.0]","[-84.24940389840422, 84.01538653147094, 67.01479943544415, -81.98942883732504]",9,1.2483680571988946e7,0.00434875
sphere3D_-84.7_58.7_-72.8_46.0_412.csv,1965,412,"[-84.7, 58.7, -72.8, 46.0]","[-84.75413764327901, 58.61657000678029, -72.74146783575515, -46.00495772640221]",10,9.795126520992432e6,0.0323935
sphere3D_-94.3_-93.4_-116.2_170.0_314.csv,1496,314,"[-94.3, -93.4, -116.2, 170.0]","[-94.41076038332018, -93.46078189236393, -116.14786586169811, -169.95241164786785]",7,1.2281917124203433e8,0.0140721
