1,2,3,4,5,6,7,8,9
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.0, -94.3, 48.4, 56.0]","[-0.002515440320055569, -94.19873888870856, 48.33134322243179, -56.0175980402487]",29,8,1.104590798889448e7,0.0151658
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.7, -45.1, 10.6, 32.0]","[-1.897215660111828, -45.11166508599479, 10.644150632128952, -31.991782042951172]",30,8,2.354148865811124e6,0.0078088
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.3, 75.9, 72.1, 151.0]","[-10.284951707583895, 75.90359005388771, 72.10307147788407, 151.0017462652691]",33,7,1.1549257722537926e8,0.02027405
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-103.0, 75.3, -38.7, 98.0]","[-102.99293315363963, 75.19862454710379, -38.69911165730342, -97.96840205919507]",28,7,4.471818462970862e7,0.01565105
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.4, -115.2, -118.0, 141.0]","[-108.3343357252554, -115.24628048444553, -117.95381347308354, -140.93398093047568]",32,7,3.1138908219541524e7,0.0021116
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.6, 97.5, -56.7, 139.0]","[-109.61196971903547, 97.55586918619565, -56.80614046969334, -138.9566008291923]",25,6,7.706985707325572e7,0.0094681
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-111.9, -93.3, 55.4, 23.0]","[-111.91296355750937, -93.35641842695941, 55.650288811737475, -23.047027209311704]",27,9,537569.8746501993,0.00193185
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.3, 96.4, 68.5, 53.0]","[-112.25880639072955, 96.34381670985702, 68.82431433680354, -52.93143846172661]",23,6,362750.8963343707,0.000145
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.0, 78.6, -110.2, 150.0]","[-113.97622970615951, 78.61023723046226, -110.1454843082895, -150.01565743864626]",25,6,4.828131421412318e7,0.0039459
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-114.5, 46.3, 90.8, 147.0]","[-114.71235674480094, 46.28231136467229, 90.7945741660331, -146.88490074614413]",56,5,2.7273428744644325e7,0.0015449
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.5, 42.1, 46.8, 91.0]","[-116.56949932382895, 41.94476962893812, 46.761666240224464, -91.04612565790676]",60,7,1.3687570215343418e7,0.00318805
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.7, 22.4, -4.9, 48.0]","[-118.70929058765596, 22.202589526830906, -4.801859984175162, -48.04296655633741]",33,8,4.765613055565583e6,0.0053773
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.6, 119.0, -58.4, 118.0]","[-119.6198871217356, 119.15217963893195, -58.48391301979101, -118.03832793939783]",60,7,1.734201844441624e7,0.00161605
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.4, -17.8, 28.1, 25.0]","[-12.302787802242882, -17.66548299069674, 28.025740254876503, -24.950656082798684]",31,9,1.8489785098821085e6,0.01610035
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-13.2, 83.3, -58.5, 99.0]","[-13.173429147895863, 82.98353067918723, -58.34383391592516, 99.00799934762833]",26,7,3.9747711759558834e7,0.01270575
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.9, 35.2, -115.1, 138.0]","[-19.838310051307097, 35.21786140152158, -115.14842817151829, 138.0596385059577]",60,7,3.61674880489718e7,0.0039705
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.2, 43.6, -77.8, 148.0]","[-20.17010803743305, 43.60864813640473, -77.79496081121007, 147.9821175096583]",52,8,1.0223236159378302e8,0.02044935
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-25.7, -104.3, 93.9, 130.0]","[-25.60635700307049, -104.37368078362736, 93.92751027069328, -129.95323241684517]",23,6,3.1517228295605972e7,0.00271035
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[-26.8, 114.9, -47.6, 124.0]","[-27.453365203035315, 115.28242619146138, -47.72859655069101, -123.70898063666988]",15,5,678533.9507782322,4.745e-5
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.0, -98.3, 34.5, 34.0]","[-30.134996086457203, -98.53428366114933, 34.642734399286326, -34.005134584314185]",49,9,5.249351136175424e6,0.0250607
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.5, 56.4, -105.5, 74.0]","[-30.37868761309305, 56.33668935226726, -105.48243203945704, -74.13487002806015]",50,7,1.1064033510653302e7,0.00476475
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.2, -91.8, 113.7, 75.0]","[-31.197552520694632, -91.74907433505807, 113.75852398152095, -74.9704139136161]",47,8,2.79871161127941e7,0.02567145
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-36.0, 30.9, 23.2, 133.0]","[-36.00476093974121, 30.876103209715065, 23.27384635272744, 132.96503974828647]",57,7,7.232145315515865e7,0.01256065
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.5, -23.7, -59.6, 149.0]","[-45.51004067163001, -23.624734651535224, -59.54033497809778, 149.0622867666918]",60,7,8.093738401538184e7,0.0111391
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[-5.1, 116.5, -93.3, 156.0]","[-5.050430429581567, 116.59552755564215, -93.3287817546134, 156.03127401240832]",28,7,1.0995683332351011e8,0.0140022
sphere3D_-52.9_76.5_-77.5_26.0_405.csv,1932,405,"[-52.9, 76.5, -77.5, 26.0]","[-53.00677112935271, 76.57718350495773, -77.57401515017013, -26.028111804640552]",125,8,2.7198950350847053e6,0.02665435
sphere3D_-54.7_108.5_3.6_7.0_78.csv,372,78,"[-54.7, 108.5, 3.6, 7.0]","[-54.79321228096067, 108.21313462158255, 3.4102657320205765, -7.059193839862682]",25,8,30936.64461762143,0.0014063
sphere3D_-54.9_-98.9_-75.7_14.0_380.csv,1814,380,"[-54.9, -98.9, -75.7, 14.0]","[-54.91364301043897, -99.02571383080907, -75.60577716562535, -14.019113273644741]",36,9,619365.738690516,0.0231824
sphere3D_-58.3_-45.2_24.6_117.0_219.csv,1045,219,"[-58.3, -45.2, 24.6, 117.0]","[-58.38763958417823, -45.27229945167205, 24.696074054023104, 116.98190326222404]",60,7,4.03534285527237e7,0.00731055
sphere3D_-59.2_59.5_-31.5_112.0_168.csv,800,168,"[-59.2, 59.5, -31.5, 112.0]","[-59.25017247101718, 59.32495671145406, -31.425931747634134, 111.96785230663377]",77,7,2.5823958515600394e7,0.00500185
sphere3D_-63.6_-77.9_-104.9_85.0_106.csv,509,106,"[-63.6, -77.9, -104.9, 85.0]","[-63.76105697117568, -78.09859504752247, -104.8409650203871, -84.91872390861573]",50,6,1.0364132820796113e7,0.0019667
sphere3D_-63.7_108.5_96.2_144.0_342.csv,1633,342,"[-63.7, 108.5, 96.2, 144.0]","[-63.69028232097123, 108.37912006478491, 96.2555641744954, -144.04682672522992]",30,8,9.384992235527435e7,0.0172504
sphere3D_-66.4_59.0_43.5_98.0_48.csv,233,48,"[-66.4, 59.0, 43.5, 98.0]","[-66.50278967694037, 59.295232346327126, 43.36586392573281, 97.81364696582739]",18,6,5.380174913488931e6,0.0005389
sphere3D_-67.6_53.2_-34.3_79.0_333.csv,1589,333,"[-67.6, 53.2, -34.3, 79.0]","[-67.66213609520355, 53.05696873785443, -34.286168473317794, -79.02199158275727]",29,8,2.445298814671702e7,0.01613175
sphere3D_-70.2_3.4_111.1_68.0_217.csv,1034,217,"[-70.2, 3.4, 111.1, 68.0]","[-70.26726638112376, 3.358239121921612, 111.14219074857719, -68.0024124262695]",49,6,1.2548118265424566e7,0.0062846
sphere3D_-71.5_107.2_-13.6_63.0_371.csv,1768,371,"[-71.5, 107.2, -13.6, 63.0]","[-71.41769388506006, 107.25452906373529, -13.636189589444932, -63.04299330373976]",42,7,1.7457610149594568e7,0.01788815
sphere3D_-74.1_-64.6_15.2_72.0_354.csv,1688,354,"[-74.1, -64.6, 15.2, 72.0]","[-73.98815536011895, -64.59053955100107, 15.128111117517006, -72.02455852732078]",60,7,2.3006990717741683e7,0.0167144
sphere3D_-75.1_-24.1_91.1_164.0_34.csv,162,34,"[-75.1, -24.1, 91.1, 164.0]","[-74.95687241551231, -24.202381306288046, 91.2345026116011, 164.1479761022592]",58,6,1.1093641783807395e7,0.0005358
sphere3D_-79.2_-62.1_-84.8_83.0_78.csv,376,78,"[-79.2, -62.1, -84.8, 83.0]","[-79.20220778570386, -61.99488904074522, -84.68304609408447, -83.07229282937519]",30,6,6.457462911553583e6,0.00112675
sphere3D_-81.4_41.5_-60.3_57.0_123.csv,589,123,"[-81.4, 41.5, -60.3, 57.0]","[-81.47781130425703, 41.49431060183838, -60.401881467895116, -57.05393601018356]",58,6,5.450399865834674e6,0.0025411
sphere3D_-81.6_-20.3_-2.8_135.0_65.csv,311,65,"[-81.6, -20.3, -2.8, 135.0]","[-81.37760581650224, -20.162410467724193, -2.8240155962293025, 135.09311466027424]",42,6,1.352252816719798e7,0.0010068
sphere3D_-82.8_-81.0_5.7_13.0_138.csv,659,138,"[-82.8, -81.0, 5.7, 13.0]","[-82.81364389114525, -80.98233489143567, 5.781384059271281, -12.966515283217477]",74,8,194908.10648726477,0.00399015
sphere3D_-84.1_84.0_67.1_82.0_144.csv,687,144,"[-84.1, 84.0, 67.1, 82.0]","[-84.24940389840444, 84.01538653147992, 67.01479943543865, -81.98942883732495]",28,7,1.248368057198894e7,0.00329985
sphere3D_-84.7_58.7_-72.8_46.0_412.csv,1965,412,"[-84.7, 58.7, -72.8, 46.0]","[-84.75413764327932, 58.61657000678019, -72.74146783575507, -46.00495772640212]",109,8,9.79512652099243e6,0.02708185
sphere3D_-94.3_-93.4_-116.2_170.0_314.csv,1496,314,"[-94.3, -93.4, -116.2, 170.0]","[-94.41076038332034, -93.460781892364, -116.14786586169808, -169.9524116478693]",25,6,1.228191712420344e8,0.0107724
sphere3D_-94.3_54.5_-24.1_19.0_32.csv,154,32,"[-94.3, 54.5, -24.1, 19.0]","[-94.51094091057223, 54.62218297043738, -23.883119505063412, -19.02577713637719]",22,7,87727.82704805252,0.0003655
sphere3D_-96.7_-51.3_-30.6_80.0_186.csv,890,186,"[-96.7, -51.3, -30.6, 80.0]","[-96.66272547608739, -51.11024371542935, -30.802325153904594, -79.97954223333402]",27,7,1.5293867447314868e7,0.00502085
sphere3D_-97.7_-41.3_91.0_96.0_34.csv,165,34,"[-97.7, -41.3, 91.0, 96.0]","[-97.64696342010784, -41.407382879613515, 91.0878276550304, -96.10281999766391]",55,5,4.345579471639754e6,0.0004888
sphere3D_0.6_-8.9_-84.3_19.0_331.csv,1579,331,"[0.6, -8.9, -84.3, 19.0]","[0.3706302014158202, -9.041165848193868, -84.25498470014861, -18.900095430378617]",68,13,1.0741800682176051e6,0.0261697
sphere3D_0.8_9.9_114.6_14.0_301.csv,1436,301,"[0.8, 9.9, 114.6, 14.0]","[0.7681145868498063, 10.07340460143774, 114.57992688876317, -14.013457261374818]",39,13,520442.72586806165,0.02236515
sphere3D_100.9_-33.0_100.2_37.0_257.csv,1227,257,"[100.9, -33.0, 100.2, 37.0]","[100.8340166255362, -32.93029299637444, 100.27258202511543, -36.97573407516322]",30,8,3.7566032936932794e6,0.01034375
sphere3D_105.5_-3.8_6.8_21.0_104.csv,498,104,"[105.5, -3.8, 6.8, 21.0]","[105.14616383160278, -3.6156642043841525, 6.652043300331071, -20.886128902459394]",36,7,418698.63135998533,0.00204525
sphere3D_108.2_-4.8_-76.6_26.0_338.csv,1614,338,"[108.2, -4.8, -76.6, 26.0]","[108.09778830794002, -4.755100583931776, -76.6733801213779, -26.007462262833233]",53,11,2.34363783125925e6,0.0232085
sphere3D_108.6_53.5_75.2_79.0_104.csv,497,104,"[108.6, 53.5, 75.2, 79.0]","[108.48785189105365, 53.76920608335174, 74.98661937522863, -79.03334061121029]",58,8,8.69303288758499e6,0.00254885
sphere3D_111.7_-69.1_118.3_138.0_266.csv,1268,266,"[111.7, -69.1, 118.3, 138.0]","[111.65095640750243, -69.21981731326156, 118.45918945743026, -138.01812723452153]",55,7,6.428072868437635e7,0.01025035
sphere3D_112.4_40.9_-45.2_85.0_42.csv,202,42,"[112.4, 40.9, -45.2, 85.0]","[112.47176590937433, 41.25851311827239, -45.24158344373871, -85.0888124425781]",24,6,3.2276238078315496e6,0.0004793
sphere3D_115.7_-75.6_104.4_49.0_270.csv,1289,270,"[115.7, -75.6, 104.4, 49.0]","[115.61053117331036, -75.55540896166043, 104.30676845920439, -49.06026635230458]",27,7,7.4038993626003135e6,0.00985325
sphere3D_117.9_-21.8_83.3_5.0_303.csv,1444,303,"[117.9, -21.8, 83.3, 5.0]","[117.73625207533084, -21.875266424254214, 83.44251987580824, -5.060474410711601]",34,11,50524.18824939849,0.0188654
sphere3D_13.9_76.9_-51.3_102.0_360.csv,1717,360,"[13.9, 76.9, -51.3, 102.0]","[13.93407973329027, 76.86302471675266, -51.31266150197452, 102.01668498045409]",28,7,4.8405139573778376e7,0.01622295
sphere3D_15.6_-107.3_42.2_126.0_305.csv,1455,305,"[15.6, -107.3, 42.2, 126.0]","[15.57697370440413, -107.13816889641188, 42.01755290066566, 126.04124007397544]",74,8,6.533367151013081e7,0.01520225
