1,2,3,4,5,6,7,8,9
sphere3D_-0.5_-102.7_-66.7_167.0_433.csv,1399,433,"[-0.5, -102.7, -66.7, 167.0]","[-0.5597825295367113, -102.52938808363099, -66.93810268681474, 166.89312117574994]",44,9,9.88742075969116e7,0.0131127
sphere3D_-0.8_26.9_-20.4_46.0_203.csv,657,203,"[-0.8, 26.9, -20.4, 46.0]","[-1.0047438302536544, 26.699478210320187, -20.363648085258383, 46.01379903203385]",28,9,2.469054272068959e6,0.00351035
sphere3D_-0.8_74.6_7.7_143.0_526.csv,1699,526,"[-0.8, 74.6, 7.7, 143.0]","[-0.7938348198131983, 74.62912359459041, 7.694088267376266, 142.97016693659478]",39,9,7.502827570029886e7,0.0195419
sphere3D_-103.1_85.0_-107.9_144.0_356.csv,1151,356,"[-103.1, 85.0, -107.9, 144.0]","[-103.22562042270235, 85.22509323131159, -107.94891021680759, -143.94818212506178]",76,7,5.855916265693271e7,0.00810765
sphere3D_-105.1_-101.8_-62.1_156.0_504.csv,1626,504,"[-105.1, -101.8, -62.1, 156.0]","[-105.20396358427809, -101.74867834132118, -62.16927842087986, 155.98012294838756]",24,8,9.276551783944681e7,0.01514835
sphere3D_-107.4_-92.7_100.1_163.0_502.csv,1622,502,"[-107.4, -92.7, 100.1, 163.0]","[-107.48603678574773, -92.6776793043258, 100.0532928352539, -162.98646896540853]",85,8,9.22279629065713e7,0.01704505
sphere3D_-111.2_-96.8_-7.1_86.0_400.csv,1291,400,"[-111.2, -96.8, -7.1, 86.0]","[-111.15209545658227, -96.7870817289875, -7.146748208634501, -85.98519003974096]",39,8,1.977278515396652e7,0.01040115
sphere3D_-118.5_-51.4_51.4_61.0_167.csv,541,167,"[-118.5, -51.4, 51.4, 61.0]","[-118.32632722976014, -51.49245242083959, 51.52014816022053, -61.06045015251679]",23,7,3.8463839240661757e6,0.00202265
sphere3D_-119.7_-20.7_1.3_7.0_336.csv,1086,336,"[-119.7, -20.7, 1.3, 7.0]","[-119.99091420899073, -20.763288734428134, 1.3621780942876789, -6.960123452125851]",39,15,58275.32647697703,0.0138739
sphere3D_-12.2_3.1_-80.3_95.0_133.csv,430,133,"[-12.2, 3.1, -80.3, 95.0]","[-12.143794433617279, 3.1882064536034442, -80.23643590839441, 94.99209991458063]",51,10,6.887985668758165e6,0.00208735
sphere3D_-12.8_13.3_-75.6_73.0_398.csv,1286,398,"[-12.8, 13.3, -75.6, 73.0]","[-12.746548260235086, 13.302202798519687, -75.67423048431323, -73.02831233122927]",77,10,1.4094456126373785e7,0.012843
sphere3D_-15.3_28.0_-98.8_84.0_367.csv,1186,367,"[-15.3, 28.0, -98.8, 84.0]","[-15.336035280018836, 27.97763230150525, -98.81773168956043, -83.97722743092974]",39,10,1.772044832829807e7,0.01065385
sphere3D_-18.9_57.7_80.0_131.0_211.csv,683,211,"[-18.9, 57.7, 80.0, 131.0]","[-18.902556669507717, 58.004348649341885, 79.7594412120589, 131.03367848222618]",38,7,2.609083247166145e7,0.00318735
sphere3D_-2.6_-72.8_99.0_55.0_465.csv,1501,465,"[-2.6, -72.8, 99.0, 55.0]","[-2.6066356912905766, -72.7546211808085, 98.88817093947624, -54.90635061437651]",47,11,8.183619850034174e6,0.0192908
sphere3D_-2.8_40.9_85.0_109.0_391.csv,1263,391,"[-2.8, 40.9, 85.0, 109.0]","[-2.894277738441159, 40.82019957618827, 85.09593041580473, 109.02765815733122]",34,10,3.4165831493529335e7,0.01266555
sphere3D_-20.0_-16.5_31.2_145.0_130.csv,421,130,"[-20.0, -16.5, 31.2, 145.0]","[-20.131485865613286, -16.657776957581945, 31.43460659804998, 145.00205721487674]",30,9,1.8945172113497205e7,0.0017586
sphere3D_-22.1_57.6_54.4_10.0_36.csv,119,36,"[-22.1, 57.6, 54.4, 10.0]","[-21.636969165219888, 57.33479353159863, 54.454229760131945, 10.164032979863816]",21,7,9105.176043051792,0.0002478
sphere3D_-32.9_99.4_108.2_138.0_341.csv,1103,341,"[-32.9, 99.4, 108.2, 138.0]","[-32.95690699124115, 99.4384307477316, 108.16236188980668, -137.99676206494965]",30,8,5.1270087320050575e7,0.0079157
sphere3D_-35.1_30.6_-24.6_152.0_242.csv,783,242,"[-35.1, 30.6, -24.6, 152.0]","[-35.00666176429485, 30.524513884549386, -24.595674158156484, 152.02552357499906]",45,8,4.315265838429267e7,0.00455055
sphere3D_-35.8_-69.0_67.2_65.0_177.csv,574,177,"[-35.8, -69.0, 67.2, 65.0]","[-35.85960016144076, -68.98853807516247, 67.16332635480275, -64.96533875767395]",27,8,5.076295621231043e6,0.0025633
sphere3D_-36.2_62.7_-105.5_20.0_618.csv,1996,618,"[-36.2, 62.7, -105.5, 20.0]","[-36.19015847697376, 62.62458150015264, -105.30491994293263, 20.034315534625957]",78,11,1.1733279688888693e6,0.03256785
sphere3D_-39.9_44.1_-69.3_136.0_583.csv,1883,583,"[-39.9, 44.1, -69.3, 136.0]","[-39.917363394287605, 44.11504364050076, -69.30092713180747, 135.98956183478782]",44,7,7.445567911461377e7,0.0178791
sphere3D_-4.3_-43.7_-4.5_47.0_522.csv,1686,522,"[-4.3, -43.7, -4.5, 47.0]","[-4.322089541133173, -43.7171600570926, -4.463658330316086, 46.93727869431093]",30,9,7.349838469940101e6,0.01827975
sphere3D_-45.2_83.8_25.6_62.0_163.csv,529,163,"[-45.2, 83.8, 25.6, 62.0]","[-45.13885625406286, 83.73404612801657, 25.658100565384135, -62.07368514004875]",23,7,3.5801913753150734e6,0.00198615
sphere3D_-47.2_14.1_-71.2_163.0_164.csv,531,164,"[-47.2, 14.1, -71.2, 163.0]","[-47.32346511194635, 13.907156692916274, -71.08775698422421, 163.04319565545617]",70,6,3.0978584850040987e7,0.0021207
sphere3D_-47.5_63.5_-66.6_128.0_502.csv,1622,502,"[-47.5, 63.5, -66.6, 128.0]","[-47.495418084126754, 63.385977278558066, -66.56203653996222, 128.01829034320525]",73,8,6.23946490708797e7,0.0164834
sphere3D_-47.8_-86.2_-77.1_35.0_25.csv,83,25,"[-47.8, -86.2, -77.1, 35.0]","[-47.91194442466714, -85.96399216278903, -77.07612866738472, 34.94236245110991]",17,5,138139.1136295602,0.00013565
sphere3D_-51.0_-28.4_-51.4_111.0_585.csv,1890,585,"[-51.0, -28.4, -51.4, 111.0]","[-50.93758221667886, -28.208700829858742, -51.549081144072325, 110.98569570668847]",125,9,5.110434083757697e7,0.02543995
