1,2,3,4,5,6,7,8
sphere3D_-0.1_22.3_-60.7_154.0_5.csv,27,5,"[-0.1, 22.3, -60.7, 154.0]","[-0.0999999999368239, 22.299999999829986, -60.69999999990739, 154.00000000002635]",6,3.5215028115764824e-10,6.62e-5
sphere3D_-0.5_12.0_3.3_38.0_5.csv,28,5,"[-0.5, 12.0, 3.3, 38.0]","[-0.4999999999974904, 12.000000000003837, 3.2999999999976524, 38.00000000000034]",8,9.035050485550755e-12,7.965e-5
sphere3D_-11.7_-34.1_70.5_87.0_6.csv,34,6,"[-11.7, -34.1, 70.5, 87.0]","[-11.699999999999955, -34.1, 70.50000000000001, 87.00000000000007]",8,1.2967404927621828e-13,7.195e-5
sphere3D_-113.2_115.8_112.1_101.0_4.csv,24,4,"[-113.2, 115.8, 112.1, 101.0]","[-113.19999999999898, 115.80000000000419, 112.0999999999978, -101.00000000000028]",8,7.688072400924284e-12,8.23e-5
sphere3D_-114.0_54.9_82.6_145.0_2.csv,12,2,"[-114.0, 54.9, 82.6, 145.0]","[-113.99999999997014, 54.90000000002059, 82.60000000000298, -145.0000000000593]",4,1.1272049960098229e-10,2.155e-5
sphere3D_-117.3_6.6_-84.5_78.0_5.csv,25,5,"[-117.3, 6.6, -84.5, 78.0]","[-117.29999999998502, 6.600000000085473, -84.50000000005302, -77.99999999999876]",8,1.5470824621388601e-10,8.47e-5
sphere3D_-118.1_-19.6_-87.5_101.0_6.csv,33,6,"[-118.1, -19.6, -87.5, 101.0]","[-118.10000000000007, -19.60000000000004, -87.49999999999997, -100.99999999999997]",7,1.6697754290362354e-13,6.92e-5
sphere3D_-13.0_13.3_-3.9_163.0_3.csv,19,3,"[-13.0, 13.3, -3.9, 163.0]","[-13.000000000028104, 13.300000000121152, -3.9000000000618447, 162.9999999999912]",7,2.199103121824919e-10,6.7e-5
sphere3D_-13.7_-108.5_-105.4_148.0_6.csv,34,6,"[-13.7, -108.5, -105.4, 148.0]","[-13.70000000000001, -108.5, -105.4, 148.0]",6,1.0658141036401503e-14,6.065e-5
sphere3D_-15.2_10.1_104.8_23.0_9.csv,48,9,"[-15.2, 10.1, 104.8, 23.0]","[-15.200000000000102, 10.099999999999618, 104.80000000000024, -22.99999999999996]",7,7.65609797781508e-13,8.385e-5
sphere3D_-19.8_105.7_76.0_88.0_3.csv,15,3,"[-19.8, 105.7, 76.0, 88.0]","[-19.800000000015274, 105.7000000000026, 75.99999999999862, -87.99999999999724]",7,2.2009061240169103e-11,4.5e-5
sphere3D_-2.6_-20.3_50.6_24.0_2.csv,11,2,"[-2.6, -20.3, 50.6, 24.0]","[-2.599999998518278, -20.299999998855757, 50.59999999986794, -24.00000000341068]",6,6.168707322729006e-9,2.58e-5
sphere3D_-25.4_97.3_105.8_139.0_2.csv,13,2,"[-25.4, 97.3, 105.8, 139.0]","[-25.399999999999956, 97.30000000000003, 105.79999999999998, -139.00000000000003]",5,1.1368683772161603e-13,3.16e-5
sphere3D_-26.4_116.9_-56.7_50.0_9.csv,47,9,"[-26.4, 116.9, -56.7, 50.0]","[-26.400000000001416, 116.89999999999291, -56.69999999999623, -50.00000000001229]",6,2.4574120516263065e-11,7.66e-5
sphere3D_-27.2_66.2_-24.6_23.0_6.csv,33,6,"[-27.2, 66.2, -24.6, 23.0]","[-27.20000000000458, 66.19999999999561, -24.59999999999767, -22.999999999999968]",6,1.1333156635373598e-11,5.28e-5
