1,2,3,4,5,6,7,8,9
sphere3D_-0.1_22.3_-60.7_154.0_5.csv,27,5,"[-0.1, 22.3, -60.7, 154.0]","[-0.10000000000000674, 22.300000000000008, -60.7, 154.0]",16,4,1.3836154444391013e-14,6.02e-5
sphere3D_-0.5_12.0_3.3_38.0_5.csv,28,5,"[-0.5, 12.0, 3.3, 38.0]","[-0.5000000019252059, 12.000000000794584, 3.2999999993786404, 38.00000000277431]",17,5,6.115456252508977e-9,6.945e-5
sphere3D_-11.7_-34.1_70.5_87.0_6.csv,34,6,"[-11.7, -34.1, 70.5, 87.0]","[-11.699999999999983, -34.10000000000001, 70.50000000000001, 87.00000000000001]",56,5,5.1514348342607263e-14,0.00018645
sphere3D_-113.2_115.8_112.1_101.0_4.csv,24,4,"[-113.2, 115.8, 112.1, 101.0]","[-113.19999999999199, 115.80000000000113, 112.10000000000002, -101.0000000000148]",53,4,2.397371190454578e-11,0.0001476
sphere3D_-114.0_54.9_82.6_145.0_2.csv,12,2,"[-114.0, 54.9, 82.6, 145.0]","[-113.9999999999877, 54.90000000002022, 82.59999999999641, -145.0000000000222]",8,3,5.830713689647382e-11,1.82e-5
sphere3D_-117.3_6.6_-84.5_78.0_5.csv,25,5,"[-117.3, 6.6, -84.5, 78.0]","[-117.29999999999983, 6.599999999999952, -84.49999999999996, -78.0000000000002]",17,5,4.600764214046649e-13,6.505e-5
sphere3D_-118.1_-19.6_-87.5_101.0_6.csv,33,6,"[-118.1, -19.6, -87.5, 101.0]","[-118.1000000001386, -19.600000000000286, -87.49999999997806, -101.00000000029465]",16,5,4.554863153316546e-10,7.09e-5
sphere3D_-13.0_13.3_-3.9_163.0_3.csv,19,3,"[-13.0, 13.3, -3.9, 163.0]","[-12.999999999997494, 13.299999999999553, -3.8999999999995127, 163.00000000000492]",16,4,8.358203018588028e-12,5.12e-5
sphere3D_-13.7_-108.5_-105.4_148.0_6.csv,34,6,"[-13.7, -108.5, -105.4, 148.0]","[-13.700000000061516, -108.50000000000038, -105.40000000000072, 148.00000000037272]",58,6,4.353335469886588e-10,0.0001981
sphere3D_-15.2_10.1_104.8_23.0_9.csv,48,9,"[-15.2, 10.1, 104.8, 23.0]","[-15.200000000386016, 10.100000000163618, 104.79999999989337, 22.999999999708127]",16,5,9.48132239386723e-10,8.78e-5
