1,2,3,4,5,6,7,8,9
sphere3D_-100.4_49.2_-21.2_82.0_12.csv,42,12,"[-100.4, 49.2, -21.2, 82.0]","[-100.4000000001238, 49.20000000000192, -21.200000000024783, -82.00000000005556]",20,6,2.0605739337042905e-10,9.4e-5
sphere3D_-100.7_-5.9_-116.4_6.0_6.csv,21,6,"[-100.7, -5.9, -116.4, 6.0]","[-100.70000003842492, -5.900000107302352, -116.39999992602979, -5.999999973151951]",18,7,2.4654552888137005e-7,6.79e-5
sphere3D_-104.5_-5.3_-111.8_135.0_6.csv,20,6,"[-104.5, -5.3, -111.8, 135.0]","[-105.74345437710474, -2.0300810834301743, -106.62964595718705, -129.6851298590105]",15,4,14.998597477477023,4.435e-5
sphere3D_-107.1_83.9_9.3_22.0_8.csv,27,8,"[-107.1, 83.9, 9.3, 22.0]","[-107.10000001125927, 83.89999999393139, 9.300000005441786, -21.99999999923493]",14,5,2.3534747484177387e-8,5.505e-5
sphere3D_-108.3_119.6_-90.2_127.0_2.csv,9,2,"[-108.3, 119.6, -90.2, 127.0]","[-108.29999999999978, 119.59999999999998, -90.20000000000013, -127.00000000000027]",19,5,6.252776074688882e-13,4.745e-5
sphere3D_-117.3_0.9_-101.5_168.0_9.csv,31,9,"[-117.3, 0.9, -101.5, 168.0]","[-117.3, 0.9000000000000091, -101.5, 168.0]",29,8,9.103828801926284e-15,0.00011815
sphere3D_-17.7_88.9_-106.0_166.0_14.csv,48,14,"[-17.7, 88.9, -106.0, 166.0]","[-17.70000000000413, 88.90000000000114, -106.00000000000158, 165.99999999999852]",59,6,8.324008149429574e-12,0.0002196
sphere3D_-18.5_44.2_98.9_94.0_11.csv,37,11,"[-18.5, 44.2, 98.9, 94.0]","[-18.499999999999982, 44.2, 98.9, -94.00000000000001]",20,5,3.197442310920451e-14,8.435e-5
sphere3D_-23.8_-38.4_-1.5_8.0_9.csv,33,9,"[-23.8, -38.4, -1.5, 8.0]","[-23.800000000054315, -38.39999999986548, -1.5000000000766853, -7.999999999990295]",21,7,2.752242878045763e-10,9.65e-5
sphere3D_-24.0_-62.2_-101.2_93.0_13.csv,45,13,"[-24.0, -62.2, -101.2, 93.0]","[-23.99999999999678, -62.19999999999949, -101.19999999999979, -93.00000000000423]",30,8,8.178346888598753e-12,0.0001474
